<DATEandTIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
0.5;0.502000;0.5017;0.514000;0.497
0.5;0.489999;0.499400;0.492999;0.501999
0.5;0.509;0.496600;0.506;0.498000
0.5;0.498000;0.5;0.501000;0.533099
0.5;0.533699;0.500599;0.509099;0.475999
0.5;0.463300;0.499400;0.465899;0.489899
0.5;0.494999;0.499400;0.5;0.499000
0.5;0.506;0.502299;0.503;0.5
0.5;0.500999;0.490900;0.510000;0.497
0.5;0.528400;0.508199;0.491999;0.503
0.5;0.470599;0.500300;0.502000;0.484000
0.5;0.552;0.515799;0.500999;0.518000
0.5;0.450000;0.4848;0.503;0.497999
0.5;0.497999;0.5;0.512;0.5
0.5;0.5351;0.499400;0.500999;0.502000
0.5;0.466900;0.5017;0.499000;0.5
0.5;0.491999;0.499499;0.494;0.5
0.5;0.543399;0.5;0.508000;0.5
0.5;0.464600;0.498800;0.498999;0.5
0.5;0.5;0.501199;0.5;0.5
0.5;0.5;0.501100;0.499000;0.497999
0.5;0.488999;0.5;0.491;0.500999
0.5;0.509999;0.4983;0.509;0.5
0.5;0.5;0.500599;0.5;0.5364
0.5;0.501000;0.498800;0.5;0.4636
0.5;0.535399;0.501199;0.487000;0.499000
0.5;0.462600;0.499400;0.500999;0.502000
0.5;0.502000;0.503999;0.503;0.501999
0.5;0.501999;0.502600;0.503;0.502000
0.5;0.502000;0.5002;0.512;0.500999
0.5;0.500999;0.5;0.500999;0.5
0.5;0.477000;0.490099;0.477000;0.499000
0.5;0.521999;0.495800;0.513999;0.503
0.5;0.503;0.514699;0.499000;0.497999
0.5;0.485999;0.499400;0.497999;0.502000
0.5;0.549199;0.521100;0.498000;0.497
0.5;0.449800;0.500799;0.500999;0.500999
0.5;0.512999;0.441499;0.511000;0.5
0.5;0.5;0.513000;0.501999;0.502000
0.5;0.502000;0.488999;0.502000;0.5
0.5;0.493000;0.512;0.493000;0.502000
0.5;0.509;0.506;0.509;0.507999
0.5;0.507999;0.503;0.5;0.492000
0.5;0.492000;0.481000;0.5;0.5
0.5;0.498999;0.498999;0.498999;0.498999
0.5;0.507000;0.514000;0.5;0.505000
0.5;0.497999;0.501999;0.503;0.5
0.5;0.5;0.548900;0.502000;0.500999
0.5;0.500999;0.501199;0.500999;0.502000
0.5;0.502000;0.501400;0.501000;0.499000
0.5;0.499000;0.500299;0.5;0.5
0.5;0.5;0.5;0.5;0.501999
0.5;0.501999;0.501400;0.501999;0.501000
0.5;0.501000;0.501399;0.5;0.498999
0.5;0.498999;0.4998;0.499000;0.514000
0.5;0.502000;0.462700;0.5;0.485999
0.5;0.497999;0.4953;0.499000;0.5
0.5;0.5;0.503899;0.501999;0.501000
0.5;0.501000;0.4983;0.5;0.520099
0.5;0.498999;0.5366;0.498000;0.498199
0.5;0.488;0.462499;0.489999;0.477699
0.5;0.531300;0.498600;0.509;0.504000
0.5;0.502899;0.502899;0.501000;0.497999
0.5;0.476800;0.499700;0.500999;0.500999
0.5;0.500999;0.499200;0.5;0.499000
0.5;0.5;0.500799;0.499000;0.5
0.5;0.499000;0.5;0.5;0.499000
0.5;0.499000;0.497199;0.497999;0.498999
0.5;0.497999;0.537100;0.5;0.499000
0.5;0.5;0.500899;0.497;0.5
0.5;0.493000;0.459600;0.496000;0.497
0.5;0.503999;0.499700;0.501999;0.497999
0.5;0.497999;0.500299;0.5;0.501000
0.5;0.501000;0.536999;0.501000;0.5
0.5;0.501999;0.499700;0.494999;0.494999
0.5;0.493000;0.497099;0.497;0.503
0.5;0.503;0.5;0.503999;0.5
0.5;0.5;0.499700;0.499000;0.560200
0.5;0.499000;0.500299;0.502000;0.439799
0.5;0.501999;0.4634;0.500999;0.5
0.5;0.499000;0.5;0.499000;0.523899
0.5;0.499000;0.5;0.5;0.5
0.5;0.500999;0.499400;0.5;0.475100
0.5;0.560200;0.536900;0.5;0.560899
0.5;0.439799;0.499699;0.500999;0.5
0.5;0.559399;0.499499;0.494;0.434100
0.5;0.446600;0.494600;0.494999;0.497
0.5;0.485999;0.4923;0.492000;0.490000
0.5;0.489000;0.462999;0.5;0.500999
0.5;0.500999;0.492600;0.494999;0.494
0.5;0.506;0.497300;0.499000;0.5
0.5;0.488;0.500299;0.498999;0.5
0.5;0.488;0.495600;0.490000;0.496000
0.5;0.508000;0.503799;0.508000;0.507999
0.5;0.518999;0.503900;0.507999;0.506
0.5;0.506999;0.505400;0.5;0.494
0.5;0.481999;0.496699;0.496000;0.502000
0.5;0.505000;0.500900;0.503999;0.497999
0.5;0.494999;0.537300;0.495000;0.502000
0.5;0.502000;0.499499;0.506999;0.560600
0.5;0.499000;0.497700;0.494999;0.434399
0.5;0.495999;0.502499;0.5;0.505000
0.5;0.506;0.500300;0.5;0.5
0.5;0.509;0.498799;0.501000;0.496000
0.5;0.486000;0.497799;0.498999;0.559699
0.5;0.498999;0.491400;0.494;0.435299
0.5;0.555800;0.5017;0.502000;0.503
0.5;0.479199;0.479199;0.503;0.5
0.5;0.463999;0.483599;0.499000;0.499000
0.5;0.499000;0.541200;0.5;0.500999
0.5;0.500999;0.501100;0.5;0.503
0.5;0.503999;0.504899;0.504999;0.503
0.5;0.491;0.457099;0.491;0.496000
0.5;0.507000;0.4983;0.506;0.503999
0.5;0.503999;0.503399;0.504000;0.499000
0.5;0.499000;0.537500;0.495999;0.495999
0.5;0.495999;0.456499;0.496000;0.499000
0.5;0.5;0.4983;0.500999;0.5
0.5;0.499000;0.540700;0.498000;0.497999
0.5;0.497999;0.502500;0.501999;0.563100
0.5;0.503;0.497999;0.498000;0.436899
0.5;0.557600;0.502600;0.501999;0.502000
0.5;0.441400;0.499699;0.5;0.500999
0.5;0.500999;0.458199;0.496000;0.497
0.5;0.497;0.499900;0.494;0.501000
0.5;0.502000;0.513500;0.506999;0.518999
0.5;0.518000;0.5105;0.522000;0.505000
0.5;0.494999;0.505199;0.495999;0.506
0.5;0.516000;0.5015;0.514000;0.503999
0.5;0.503999;0.504200;0.503999;0.500999
