<presentDate>;<deposit1>;<deposit2>;<action>;<reward>;<closeValue>;<LSTM_1[0]>;<LSTM_2[0]>;<ANN_1[0]>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
01.06.2017 0:00:00;1;436,8068;buy;0;63,1932;0;0;1;0.853999;0.299999;0.347000;0.108199;0
02.06.2017 0:00:00;2;372,9282;buy;-7,105427357601E-15;63,8786;0;1;0;0.069000;0.716999;0.631999;1;0
03.06.2017 0:00:00;1;436,7717;sell;7,105427357601E-15;63,8435;0;1;0;1;0.442;1;0.4649;0
04.06.2017 0:00:00;2;372,9837;buy;-1,4210854715202E-14;63,788;1;1;0;0.375999;0.610000;0.537999;0.444499;1
05.06.2017 0:00:00;3;309,2897;buy;-1,4210854715202E-14;63,694;1;1;1;0.725999;0.552999;0;0.406000;1
06.06.2017 0:00:00;4;245,6737;buy;1,4210854715202E-14;63,616;0;1;1;0.191000;0.348999;0.784999;0.421999;1
07.06.2017 0:00:00;3;309,8437;sell;1,4210854715202E-14;64,17;0;1;0;0.499000;1;0.547000;1;0
08.06.2017 0:00:00;2;373,4737;sell;-7,105427357601E-15;63,63;1;1;0;1;0.460499;0.677;0;0
09.06.2017 0:00:00;2;373,4737;nothing;0;63,8021;1;1;0;0.087000;0.030900;0.414999;0.6721;1
10.06.2017 0:00:00;1;437,3217;sell;1,4210854715202E-14;63,848;1;1;1;0.513999;0.427599;0.534100;0.545899;0
11.06.2017 0:00:00;1;437,3217;nothing;0;63,84;1;1;0;0.307700;0.521999;0.559699;0.492000;1
12.06.2017 0:00:00;0;501,1547;sell;2,8421709430404E-14;63,833;1;1;1;0.685299;0.777999;0.5242;0.492999;1
13.06.2017 0:00:00;1;437,3057;buy;7,105427357601E-15;63,849;1;1;0;0.606000;0.329300;0.386999;0.515999;1
14.06.2017 0:00:00;1;437,3057;nothing;0;64,1242;1;1;0;0.473999;1;0.652000;0.775200;0
15.06.2017 0:00:00;2;372,9157;buy;1,4210854715202E-14;64,39;0;1;1;0.711000;0.411000;0.038299;0.765799;0
16.06.2017 0:00:00;3;308,5697;buy;0;64,346;0;1;1;0.855999;0.602999;1;0.456000;0
17.06.2017 0:00:00;4;243,9647;buy;-1,4210854715202E-14;64,605;0;1;1;0.576000;0.473000;0.812299;0.759;0
18.06.2017 0:00:00;3;308,6267;sell;-2,8421709430404E-14;64,662;0;1;0;0.552999;0.564999;0.522100;0.557000;1
19.06.2017 0:00:00;2;373,7904;sell;0;65,1637;0;1;1;0.548999;1;0.354799;1;1
20.06.2017 0:00:00;1;440,0424;sell;1,4210854715202E-14;66,252;0;1;1;1;1;1;1;1
21.06.2017 0:00:00;1;440,0424;nothing;0;67,2858;0;1;0;1;1;1;1;0
22.06.2017 0:00:00;0;506,8454;sell;0;66,803;0;1;1;1;0.560999;0.932000;0.017200;0
23.06.2017 0:00:00;1;440,4084;buy;-1,4210854715202E-14;66,437;0;1;0;0.082000;0.076999;0.018599;0.134;0
24.06.2017 0:00:00;0;506,7481;sell;0;66,3397;0;1;1;0.138999;0.036000;0.775300;0.402699;0
25.06.2017 0:00:00;0;506,7481;sell;0;66,48;0;1;0;0.445000;0.537000;0.619100;0.640300;1
26.06.2017 0:00:00;1;441,0387;buy;-1,4210854715202E-14;65,7094;0;0;0;0.495999;0.844999;0;0;1
27.06.2017 0:00:00;1;441,0387;nothing;0;67,263;0;1;0;0;1;0;1;1
28.06.2017 0:00:00;2;373,6508;buy;0;67,3879;0;0;0;1;0.956000;1;0.624899;1
29.06.2017 0:00:00;3;305,7448;buy;0;67,906;0;0;0;0.501000;0.822000;0.499000;1;0
30.06.2017 0:00:00;4;238,6018;buy;0;67,143;0;0;0;1;1;0.454999;0;0
01.07.2017 0:00:00;5;171,2398;buy;0;67,362;0;0;0;0;0;0;0.718999;0
02.07.2017 0:00:00;6;104,7753;buy;0;66,4645;0;0;1;0.515000;0.425000;0.458600;0;1
03.07.2017 0:00:00;7;37,6133;buy;0;67,162;0;0;1;0.517999;1;0.530000;1;1
04.07.2017 0:00:00;7;37,6133;buy;0;67,372;0;0;0;0.805000;0.370099;1;0.709999;1
05.07.2017 0:00:00;7;37,6133;buy;0;68,022;0;0;0;0.417000;0.728899;0.518000;1;1
06.07.2017 0:00:00;7;37,6133;buy;0;68,586;0;0;0;1;0.862000;1;1;0
07.07.2017 0:00:00;7;37,6133;buy;0;68,7652;0;0;1;1;0.866999;1;0.679199;1
08.07.2017 0:00:00;7;37,6133;buy;0;68,6475;0;0;0;0.717999;0.313000;0.716300;0.382300;0
09.07.2017 0:00:00;7;37,6133;buy;0;68,707;0;0;0;0.276000;0.615099;0.517700;0.5595;1
10.07.2017 0:00:00;7;37,6133;buy;0;68,573;0;0;1;0.613999;0.4529;0.317999;0.366;1
11.07.2017 0:00:00;7;37,6133;buy;0;69,541;1;0;0;0.359000;1;0.458999;1;1
12.07.2017 0:00:00;6;105,9703;sell;0;68,357;1;0;0;1;0.426000;0.264000;0;1
13.07.2017 0:00:00;7;37,7865;buy;0;68,1838;0;0;0;0;0;0;0.326800;0
14.07.2017 0:00:00;7;37,7865;buy;0;67,5748;0;0;0;0.404999;0.028999;0.560400;0;0
15.07.2017 0:00:00;6;105,4866;sell;0;67,7001;0;0;0;0;0;0.498199;0.625300;0
16.07.2017 0:00:00;7;37,8366;buy;0;67,65;0;0;0;0.411200;0.564000;0.521600;0.4499;1
17.07.2017 0:00:00;7;37,8366;buy;0;68,0504;0;0;0;0.5428;1;0.384199;0.900399;1
18.07.2017 0:00:00;7;37,8366;buy;0;68,4157;1;0;1;0.925999;1;0.711000;0.865300;1
19.07.2017 0:00:00;7;37,8366;buy;0;67,881;1;0;0;0.899000;0.125;0.617999;0;0
20.07.2017 0:00:00;7;37,8366;buy;0;68,4557;1;0;0;0;0.248999;0.319000;1;1
21.07.2017 0:00:00;7;37,8366;buy;0;69,119;1;0;0;1;0.980000;1;1;0
