<DATE>;volume
01.12.2009;0.68965517
02.12.2009;0.62068966
03.12.2009;0.75862069
04.12.2009;0.48275862
05.12.2009;0.20689655
06.12.2009;0.68965517
07.12.2009;0.75862069
08.12.2009;0.75862069
09.12.2009;0.55172414
10.12.2009;0.75862069
11.12.2009;0.44827586
12.12.2009;0
13.12.2009;0.72413793
14.12.2009;0.68965517
15.12.2009;0.62068966
16.12.2009;0.48275862
17.12.2009;1
18.12.2009;0.37931034
19.12.2009;0
20.12.2009;0.13793103
21.12.2009;0.34482759
22.12.2009;0.17241379
23.12.2009;0
24.12.2009;0
25.12.2009;0
26.12.2009;0
27.12.2009;0
28.12.2009;0
29.12.2009;0
30.12.2009;0
31.12.2009;0
01.01.2010;0
02.01.2010;0
03.01.2010;0
04.01.2010;0.13793103
05.01.2010;0.4137931
06.01.2010;0.20689655
07.01.2010;0.44827586
08.01.2010;0.37931034
09.01.2010;0
10.01.2010;0.20689655
11.01.2010;0.31034483
12.01.2010;0.24137931
13.01.2010;0.31034483
14.01.2010;0.89655172
15.01.2010;0.34482759
16.01.2010;0
17.01.2010;0.44827586
18.01.2010;0.44827586
19.01.2010;0.44827586
20.01.2010;0.34482759
21.01.2010;0.4137931
22.01.2010;0.37931034
23.01.2010;0
24.01.2010;0.37931034
25.01.2010;0.5862069
26.01.2010;0.55172414
27.01.2010;0.48275862
28.01.2010;0.31034483
29.01.2010;0.4137931
30.01.2010;0
31.01.2010;0.55172414
01.02.2010;0.37931034
02.02.2010;0.44827586
03.02.2010;0.37931034
04.02.2010;0.62068966
05.02.2010;0.13793103
06.02.2010;0
07.02.2010;0.20689655
08.02.2010;0.62068966
09.02.2010;0.13793103
10.02.2010;0.13793103
11.02.2010;0.44827586
12.02.2010;0.13793103
13.02.2010;0
14.02.2010;0.20689655
15.02.2010;0.17241379
16.02.2010;0.37931034
17.02.2010;0.31034483
18.02.2010;0.27586207
19.02.2010;0.24137931
20.02.2010;0
21.02.2010;0.27586207
22.02.2010;0.27586207
23.02.2010;0.31034483
24.02.2010;0.4137931
25.02.2010;0.48275862
26.02.2010;0.20689655
27.02.2010;0
28.02.2010;0.37931034
01.03.2010;0.10344828
02.03.2010;0.24137931
03.03.2010;0.55172414
04.03.2010;0.34482759
05.03.2010;0.20689655
06.03.2010;0
07.03.2010;0.37931034
08.03.2010;0.72413793
09.03.2010;0.34482759
10.03.2010;0.37931034
11.03.2010;0.31034483
12.03.2010;0.34482759
13.03.2010;0
14.03.2010;0.20689655
15.03.2010;0.31034483
16.03.2010;0.37931034
17.03.2010;0.44827586
18.03.2010;0.37931034
19.03.2010;0.34482759
20.03.2010;0
21.03.2010;0.31034483
22.03.2010;0.31034483
23.03.2010;0.51724138
24.03.2010;0.4137931
25.03.2010;0.55172414
26.03.2010;0.27586207
27.03.2010;0
28.03.2010;0.4137931
29.03.2010;0.48275862
30.03.2010;0.27586207
31.03.2010;0.44827586
01.04.2010;0.48275862
02.04.2010;0
03.04.2010;0
04.04.2010;0
05.04.2010;0
06.04.2010;0.31034483
07.04.2010;0.44827586
08.04.2010;0.37931034
09.04.2010;0.10344828
10.04.2010;0
11.04.2010;0.34482759
12.04.2010;0.13793103
13.04.2010;0.31034483
14.04.2010;0.20689655
15.04.2010;0.31034483
16.04.2010;0.13793103
17.04.2010;0
18.04.2010;0.68965517
19.04.2010;0.55172414
20.04.2010;0.20689655
21.04.2010;0.37931034
22.04.2010;0.37931034
23.04.2010;0.37931034
24.04.2010;0
25.04.2010;0.27586207
26.04.2010;0.44827586
27.04.2010;0.48275862
28.04.2010;0.5862069
29.04.2010;0.65517241
30.04.2010;0.31034483
01.05.2010;0
02.05.2010;0.27586207
03.05.2010;0
04.05.2010;0.34482759
05.05.2010;0.48275862
06.05.2010;0.34482759
07.05.2010;0.34482759
08.05.2010;0
09.05.2010;0.44827586
10.05.2010;0.34482759
11.05.2010;0.31034483
12.05.2010;0.31034483
13.05.2010;0.4137931
14.05.2010;0.27586207
15.05.2010;0
16.05.2010;0.24137931
17.05.2010;0.27586207
18.05.2010;0.44827586
19.05.2010;0.48275862
20.05.2010;0.48275862
21.05.2010;0.31034483
22.05.2010;0
23.05.2010;0.34482759
24.05.2010;0.37931034
25.05.2010;0.31034483
26.05.2010;0.44827586
27.05.2010;0.72413793
28.05.2010;0.31034483
29.05.2010;0
30.05.2010;0.24137931
31.05.2010;0
01.06.2010;0.13793103
02.06.2010;0.31034483
03.06.2010;0.34482759
04.06.2010;0.20689655
05.06.2010;0
06.06.2010;0.72413793
07.06.2010;0.79310345
08.06.2010;0.24137931
09.06.2010;0.34482759
10.06.2010;0.37931034
11.06.2010;0.48275862
12.06.2010;0
13.06.2010;0.51724138
14.06.2010;0.17241379
15.06.2010;0.37931034
16.06.2010;0.31034483
17.06.2010;0.24137931
18.06.2010;0.20689655
19.06.2010;0
20.06.2010;0.27586207
21.06.2010;0.55172414
22.06.2010;0.27586207
23.06.2010;0.13793103
24.06.2010;0.10344828
25.06.2010;0.37931034
26.06.2010;0
27.06.2010;0.4137931
28.06.2010;0.4137931
29.06.2010;0.34482759
30.06.2010;0.48275862
01.07.2010;0.48275862
02.07.2010;0.17241379
03.07.2010;0
04.07.2010;0.17241379
05.07.2010;0.44827586
06.07.2010;0.37931034
07.07.2010;0.37931034
08.07.2010;0.24137931
09.07.2010;0.06896552
10.07.2010;0
11.07.2010;0.27586207
12.07.2010;0.13793103
13.07.2010;0.48275862
14.07.2010;0.44827586
15.07.2010;0.37931034
16.07.2010;0.31034483
17.07.2010;0
18.07.2010;0.31034483
19.07.2010;0.55172414
20.07.2010;0.62068966
21.07.2010;0.4137931
22.07.2010;0.37931034
23.07.2010;0.37931034
24.07.2010;0
25.07.2010;0.24137931
26.07.2010;0.34482759
27.07.2010;0.17241379
28.07.2010;0.34482759
29.07.2010;0.48275862
30.07.2010;0.03448276
31.07.2010;0
01.08.2010;0.20689655
02.08.2010;0.20689655
03.08.2010;0.31034483
04.08.2010;0.17241379
05.08.2010;0.27586207
06.08.2010;0.24137931
07.08.2010;0
08.08.2010;0.55172414
09.08.2010;0.27586207
10.08.2010;0.51724138
11.08.2010;0.24137931
12.08.2010;0.44827586
13.08.2010;0.48275862
14.08.2010;0
15.08.2010;0.27586207
16.08.2010;0.27586207
17.08.2010;0.37931034
18.08.2010;0.34482759
19.08.2010;0.27586207
20.08.2010;0.27586207
21.08.2010;0
22.08.2010;0.44827586
23.08.2010;0.24137931
24.08.2010;0.37931034
25.08.2010;0.51724138
26.08.2010;0.62068966
27.08.2010;0.31034483
28.08.2010;0
29.08.2010;0.48275862
30.08.2010;0
31.08.2010;0.34482759
01.09.2010;0.24137931
02.09.2010;0.37931034
03.09.2010;0.31034483
04.09.2010;0
05.09.2010;0.34482759
06.09.2010;0.34482759
07.09.2010;0.17241379
08.09.2010;0.24137931
09.09.2010;0.37931034
10.09.2010;0.20689655
11.09.2010;0
12.09.2010;0.5862069
13.09.2010;0.44827586
14.09.2010;0.48275862
15.09.2010;0.31034483
16.09.2010;0.20689655
17.09.2010;0.27586207
18.09.2010;0
19.09.2010;0.48275862
20.09.2010;0.34482759
21.09.2010;0.51724138
22.09.2010;0.44827586
23.09.2010;0.5862069
24.09.2010;0.27586207
25.09.2010;0
26.09.2010;0.17241379
27.09.2010;0.24137931
28.09.2010;0.51724138
29.09.2010;0.31034483
30.09.2010;0.06896552
01.10.2010;0.31034483
02.10.2010;0
03.10.2010;0.44827586
04.10.2010;0.34482759
05.10.2010;0.55172414
06.10.2010;0.17241379
07.10.2010;0.4137931
08.10.2010;0.24137931
09.10.2010;0
10.10.2010;0.37931034
11.10.2010;0.48275862
12.10.2010;0.4137931
13.10.2010;0.44827586
14.10.2010;0.55172414
15.10.2010;0.37931034
16.10.2010;0
17.10.2010;0.48275862
18.10.2010;0.65517241
19.10.2010;0.31034483
20.10.2010;0.34482759
21.10.2010;0.37931034
22.10.2010;0.31034483
23.10.2010;0
24.10.2010;0.44827586
25.10.2010;0.48275862
26.10.2010;0.37931034
27.10.2010;0.34482759
28.10.2010;0.34482759
29.10.2010;0.4137931
30.10.2010;0
31.10.2010;0.68965517
01.11.2010;0.37931034
02.11.2010;0.51724138
03.11.2010;0.4137931
04.11.2010;0.72413793
05.11.2010;0.27586207
06.11.2010;0
07.11.2010;0.62068966
08.11.2010;0.48275862
09.11.2010;0.37931034
10.11.2010;0.55172414
11.11.2010;0.62068966
12.11.2010;0.4137931
13.11.2010;0
14.11.2010;0.48275862
15.11.2010;0.55172414
16.11.2010;0.65517241
17.11.2010;0.75862069
18.11.2010;0.62068966
19.11.2010;0.4137931
20.11.2010;0
21.11.2010;0.55172414
22.11.2010;0.75862069
23.11.2010;1
24.11.2010;0.72413793
25.11.2010;0.79310345
26.11.2010;0.34482759
27.11.2010;0
28.11.2010;0.62068966
29.11.2010;0.4137931
30.11.2010;0.48275862
01.12.2010;0.55172414
02.12.2010;0.65517241
03.12.2010;0.24137931
04.12.2010;0
05.12.2010;0.44827586
06.12.2010;0.48275862
07.12.2010;0.55172414
08.12.2010;0.55172414
09.12.2010;0.55172414
10.12.2010;0.48275862
11.12.2010;0
12.12.2010;0.4137931
13.12.2010;0.48275862
14.12.2010;0.4137931
15.12.2010;0.34482759
16.12.2010;0.65517241
17.12.2010;0.4137931
18.12.2010;0
19.12.2010;0.13793103
20.12.2010;0.24137931
21.12.2010;0.13793103
22.12.2010;0.17241379
23.12.2010;0.13793103
24.12.2010;0
25.12.2010;0
26.12.2010;0
27.12.2010;0
28.12.2010;0
29.12.2010;0
30.12.2010;0
31.12.2010;0
01.01.2011;0
02.01.2011;0
03.01.2011;0
04.01.2011;0.24137931
05.01.2011;0.51724138
06.01.2011;0.34482759
07.01.2011;0.24137931
08.01.2011;0
09.01.2011;0.34482759
10.01.2011;0.06896552
11.01.2011;0.4137931
12.01.2011;0.44827586
13.01.2011;0.10344828
14.01.2011;0.17241379
15.01.2011;0
16.01.2011;0.10344828
17.01.2011;0.48275862
18.01.2011;0.17241379
19.01.2011;0.17241379
20.01.2011;0.24137931
21.01.2011;0.13793103
22.01.2011;0
23.01.2011;0.20689655
24.01.2011;0.17241379
25.01.2011;0.24137931
