<DATE>;"MT_250"
01.01.2011;0.25384973
02.01.2011;0.26460395
03.01.2011;0.27174962
04.01.2011;0.27889528
05.01.2011;0.27889528
06.01.2011;0.27174962
07.01.2011;0.29318661
08.01.2011;0.26817678
09.01.2011;0.24313123
10.01.2011;0.26460395
11.01.2011;0.27532245
12.01.2011;0.25384973
13.01.2011;0.2395584
14.01.2011;0.25027689
15.01.2011;0.27532245
16.01.2011;0.29318661
17.01.2011;0.27532245
18.01.2011;0.26817678
19.01.2011;0.26460395
20.01.2011;0.27174962
21.01.2011;0.25384973
22.01.2011;0.27174962
23.01.2011;0.27174962
24.01.2011;0.25742256
25.01.2011;0.27532245
26.01.2011;0.24670406
27.01.2011;0.27532245
28.01.2011;0.27174962
29.01.2011;0.27174962
30.01.2011;0.26099539
31.01.2011;0.26460395
01.02.2011;0.25384973
02.02.2011;0.2395584
03.02.2011;0.24670406
04.02.2011;0.26099539
05.02.2011;0.25742256
06.02.2011;0.25742256
07.02.2011;0.24313123
08.02.2011;0.26817678
09.02.2011;0.28961378
10.02.2011;0.25742256
11.02.2011;0.28246811
12.02.2011;0.28246811
13.02.2011;0.27174962
14.02.2011;0.28246811
15.02.2011;0.27174962
16.02.2011;0.28961378
17.02.2011;0.25384973
18.02.2011;0.28604094
19.02.2011;0.27889528
20.02.2011;0.28246811
21.02.2011;0.27532245
22.02.2011;0.28246811
23.02.2011;0.3110865
24.02.2011;0.28246811
25.02.2011;0.28246811
26.02.2011;0.26460395
27.02.2011;0.26817678
28.02.2011;0.28961378
01.03.2011;0.27532245
02.03.2011;0.25742256
03.03.2011;0.28604094
04.03.2011;0.28246811
05.03.2011;0.28961378
06.03.2011;0.28961378
07.03.2011;0.27889528
08.03.2011;0.29675944
09.03.2011;0.28246811
10.03.2011;0.29318661
11.03.2011;0.30033227
12.03.2011;0.26099539
13.03.2011;0.27889528
14.03.2011;0.26460395
15.03.2011;0.26099539
16.03.2011;0.26460395
17.03.2011;0.30390511
18.03.2011;0.40405159
19.03.2011;0.49812426
20.03.2011;0.51959698
21.03.2011;0.49812426
22.03.2011;0.48376148
23.03.2011;0.48376148
24.03.2011;0.50526993
25.03.2011;0.48737004
26.03.2011;0.49094287
27.03.2011;0.50884276
28.03.2011;0.49812426
29.03.2011;0.50526993
30.03.2011;0.5016971
31.03.2011;0.46943442
01.04.2011;0.51602415
02.04.2011;0.49812426
03.04.2011;0.43620708
04.04.2011;0.41834292
05.04.2011;0.3861517
06.04.2011;0.38972453
07.04.2011;0.27532245
08.04.2011;0.27532245
09.04.2011;0.28604094
10.04.2011;0.27174962
11.04.2011;0.30033227
12.04.2011;0.27889528
13.04.2011;0.28604094
14.04.2011;0.27889528
15.04.2011;0.28604094
16.04.2011;0.27174962
17.04.2011;0.27532245
18.04.2011;0.27532245
19.04.2011;0.27174962
20.04.2011;0.25742256
21.04.2011;0.29318661
22.04.2011;0.28246811
23.04.2011;0.28604094
