<DATE>;<X>;<CLOSE>
01/09/15;0,05;0,5250
02/09/15;0,1;0,5499
03/09/15;0,15;0,5747
04/09/15;0,2;0,5993
05/09/15;0,25;0,6237
06/09/15;0,3;0,6478
07/09/15;0,35;0,6714
08/09/15;0,4;0,6947
09/09/15;0,45;0,7175
10/09/15;0,5;0,7397
11/09/15;0,55;0,7613
12/09/15;0,6;0,7823
13/09/15;0,65;0,8026
14/09/15;0,7;0,8221
15/09/15;0,75;0,8408
16/09/15;0,8;0,8587
17/09/15;0,85;0,8756
18/09/15;0,9;0,8917
19/09/15;0,95;0,9067
20/09/15;1;0,9207
21/09/15;1,05;0,9337
22/09/15;1,1;0,9456
23/09/15;1,15;0,9564
24/09/15;1,2;0,9660
25/09/15;1,25;0,9745
26/09/15;1,3;0,9818
27/09/15;1,35;0,9879
28/09/15;1,4;0,9927
29/09/15;1,45;0,9964
30/09/15;1,5;0,9987
01/10/15;1,55;0,9999
02/10/15;1,6;0,9998
03/10/15;1,65;0,9984
04/10/15;1,7;0,9958
05/10/15;1,75;0,9920
06/10/15;1,8;0,9869
07/10/15;1,85;0,9806
08/10/15;1,9;0,9732
09/10/15;1,95;0,9645
10/10/15;2;0,9546
11/10/15;2,05;0,9437
12/10/15;2,1;0,9316
13/10/15;2,15;0,9184
14/10/15;2,2;0,9042
15/10/15;2,25;0,8890
16/10/15;2,3;0,8729
17/10/15;2,35;0,8557
18/10/15;2,4;0,8377
19/10/15;2,45;0,8189
20/10/15;2,5;0,7992
21/10/15;2,55;0,7788
22/10/15;2,6;0,7578
23/10/15;2,65;0,7360
24/10/15;2,7;0,7137
25/10/15;2,75;0,6908
26/10/15;2,8;0,6675
27/10/15;2,85;0,6437
28/10/15;2,9;0,6196
29/10/15;2,95;0,5952
30/10/15;3;0,5706
31/10/15;3,05;0,5457
01/11/15;3,1;0,5208
02/11/15;3,15;0,4958
03/11/15;3,2;0,4708
04/11/15;3,25;0,4459
05/11/15;3,3;0,4211
06/11/15;3,35;0,3965
07/11/15;3,4;0,3722
08/11/15;3,45;0,3482
09/11/15;3,5;0,3246
10/11/15;3,55;0,3014
11/11/15;3,6;0,2787
12/11/15;3,65;0,2566
13/11/15;3,7;0,2351
14/11/15;3,75;0,2142
15/11/15;3,8;0,1941
16/11/15;3,85;0,1747
17/11/15;3,9;0,1561
18/11/15;3,95;0,1384
19/11/15;4;0,1216
20/11/15;4,05;0,1057
21/11/15;4,1;0,0909
22/11/15;4,15;0,0770
23/11/15;4,2;0,0642
24/11/15;4,25;0,0525
25/11/15;4,3;0,0419
26/11/15;4,35;0,0325
27/11/15;4,4;0,0242
28/11/15;4,45;0,0171
29/11/15;4,5;0,0112
30/11/15;4,55;0,0066
01/12/15;4,6;0,0032
02/12/15;4,65;0,0010
03/12/15;4,7;0,0000
04/12/15;4,75;0,0004
05/12/15;4,8;0,0019
06/12/15;4,85;0,0047
07/12/15;4,9;0,0088
08/12/15;4,95;0,0140
09/12/15;5;0,0205
10/12/15;5,05;0,0282
11/12/15;5,1;0,0371
12/12/15;5,15;0,0471
13/12/15;5,2;0,0583
14/12/15;5,25;0,0705
15/12/15;5,3;0,0839
16/12/15;5,35;0,0982
17/12/15;5,4;0,1136
18/12/15;5,45;0,1300
19/12/15;5,5;0,1472
20/12/15;5,55;0,1654
21/12/15;5,6;0,1844
22/12/15;5,65;0,2041
23/12/15;5,7;0,2247
24/12/15;5,75;0,2459
25/12/15;5,8;0,2677
26/12/15;5,85;0,2901
27/12/15;5,9;0,3131
28/12/15;5,95;0,3365
29/12/15;6;0,3603
30/12/15;6,05;0,3845
31/12/15;6,1;0,4089
01/01/16;6,15;0,4336
02/01/16;6,2;0,4585
03/01/16;6,25;0,4834
04/01/16;6,3;0,5084
05/01/16;6,35;0,5334
06/01/16;6,4;0,5583
07/01/16;6,45;0,5830
08/01/16;6,5;0,6076
09/01/16;6,55;0,6318
10/01/16;6,6;0,6558
11/01/16;6,65;0,6793
12/01/16;6,7;0,7024
13/01/16;6,75;0,7250
14/01/16;6,8;0,7471
15/01/16;6,85;0,7685
16/01/16;6,9;0,7892
17/01/16;6,95;0,8092
18/01/16;7;0,8285
19/01/16;7,05;0,8469
20/01/16;7,1;0,8645
21/01/16;7,15;0,8811
22/01/16;7,2;0,8968
23/01/16;7,25;0,9115
24/01/16;7,3;0,9252
25/01/16;7,35;0,9378
26/01/16;7,4;0,9494
27/01/16;7,45;0,9598
28/01/16;7,5;0,9690
29/01/16;7,55;0,9771
30/01/16;7,6;0,9840
31/01/16;7,65;0,9896
01/02/16;7,7;0,9941
02/02/16;7,75;0,9973
03/02/16;7,8;0,9993
04/02/16;7,85;1,0000
05/02/16;7,9;0,9995
06/02/16;7,95;0,9977
07/02/16;8;0,9947
08/02/16;8,05;0,9904
09/02/16;8,1;0,9849
10/02/16;8,15;0,9783
11/02/16;8,2;0,9704
12/02/16;8,25;0,9613
13/02/16;8,3;0,9511
14/02/16;8,35;0,9397
15/02/16;8,4;0,9273
16/02/16;8,45;0,9138
17/02/16;8,5;0,8992
18/02/16;8,55;0,8837
19/02/16;8,6;0,8672
20/02/16;8,65;0,8498
21/02/16;8,7;0,8315
22/02/16;8,75;0,8124
23/02/16;8,8;0,7925
24/02/16;8,85;0,7718
25/02/16;8,9;0,7505
26/02/16;8,95;0,7286
27/02/16;9;0,7061
28/02/16;9,05;0,6830
29/02/16;9,1;0,6595
01/03/16;9,15;0,6357
02/03/16;9,2;0,6114
03/03/16;9,25;0,5869
04/03/16;9,3;0,5622
05/03/16;9,35;0,5374
06/03/16;9,4;0,5124
07/03/16;9,45;0,4874
08/03/16;9,5;0,4624
09/03/16;9,55;0,4376
10/03/16;9,6;0,4128
11/03/16;9,65;0,3883
12/03/16;9,7;0,3641
13/03/16;9,75;0,3402
14/03/16;9,8;0,3168
15/03/16;9,85;0,2937
16/03/16;9,9;0,2712
17/03/16;9,95;0,2493
18/03/16;10;0,2280
19/03/16;10,05;0,2074
20/03/16;10,1;0,1875
21/03/16;10,15;0,1683
22/03/16;10,2;0,1501
23/03/16;10,25;0,1327
24/03/16;10,3;0,1162
25/03/16;10,35;0,1006
26/03/16;10,4;0,0861
27/03/16;10,45;0,0726
28/03/16;10,5;0,0602
29/03/16;10,55;0,0488
30/03/16;10,6;0,0386
31/03/16;10,65;0,0296
01/04/16;10,7;0,0217
02/04/16;10,75;0,0150
03/04/16;10,8;0,0095
04/04/16;10,85;0,0053
05/04/16;10,9;0,0023
06/04/16;10,95;0,0005
07/04/16;11;0,0000
08/04/16;11,05;0,0007
09/04/16;11,1;0,0027
10/04/16;11,15;0,0059
11/04/16;11,2;0,0104
12/04/16;11,25;0,0161
13/04/16;11,3;0,0230
14/04/16;11,35;0,0311
15/04/16;11,4;0,0403
16/04/16;11,45;0,0507
17/04/16;11,5;0,0623
18/04/16;11,55;0,0749
19/04/16;11,6;0,0886
20/04/16;11,65;0,1033
21/04/16;11,7;0,1190
22/04/16;11,75;0,1357
23/04/16;11,8;0,1532
24/04/16;11,85;0,1717
25/04/16;11,9;0,1909
26/04/16;11,95;0,2110
27/04/16;12;0,2317
28/04/16;12,05;0,2531
29/04/16;12,1;0,2752
30/04/16;12,15;0,2978
01/05/16;12,2;0,3209
02/05/16;12,25;0,3444
03/05/16;12,3;0,3684
04/05/16;12,35;0,3927
05/05/16;12,4;0,4172
06/05/16;12,45;0,4419
07/05/16;12,5;0,4668
08/05/16;12,55;0,4918
09/05/16;12,6;0,5168
10/05/16;12,65;0,5418
11/05/16;12,7;0,5666
12/05/16;12,75;0,5913
13/05/16;12,8;0,6158
14/05/16;12,85;0,6399
15/05/16;12,9;0,6637
16/05/16;12,95;0,6871
17/05/16;13;0,7101
18/05/16;13,05;0,7325
19/05/16;13,1;0,7543
20/05/16;13,15;0,7755
21/05/16;13,2;0,7960
22/05/16;13,25;0,8158
23/05/16;13,3;0,8348
24/05/16;13,35;0,8529
25/05/16;13,4;0,8702
26/05/16;13,45;0,8865
27/05/16;13,5;0,9019
28/05/16;13,55;0,9163
29/05/16;13,6;0,9296
30/05/16;13,65;0,9418
31/05/16;13,7;0,9530
01/06/16;13,75;0,9630
02/06/16;13,8;0,9718
03/06/16;13,85;0,9795
04/06/16;13,9;0,9860
05/06/16;13,95;0,9913
06/06/16;14;0,9953
07/06/16;14,05;0,9981
08/06/16;14,1;0,9997
09/06/16;14,15;1,0000
10/06/16;14,2;0,9990
11/06/16;14,25;0,9968
12/06/16;14,3;0,9934
13/06/16;14,35;0,9887
14/06/16;14,4;0,9828
15/06/16;14,45;0,9757
16/06/16;14,5;0,9674
17/06/16;14,55;0,9580
18/06/16;14,6;0,9474
19/06/16;14,65;0,9357
20/06/16;14,7;0,9229
21/06/16;14,75;0,9090
22/06/16;14,8;0,8941
23/06/16;14,85;0,8783
24/06/16;14,9;0,8614
25/06/16;14,95;0,8437
26/06/16;15;0,8251
27/06/16;15,05;0,8058
28/06/16;15,1;0,7856
29/06/16;15,15;0,7647
30/06/16;15,2;0,7432
01/07/16;15,25;0,7211
02/07/16;15,3;0,6984
03/07/16;15,35;0,6752
04/07/16;15,4;0,6516
05/07/16;15,45;0,6276
06/07/16;15,5;0,6032
07/07/16;15,55;0,5787
08/07/16;15,6;0,5539
09/07/16;15,65;0,5290
10/07/16;15,7;0,5040
11/07/16;15,75;0,4790
12/07/16;15,8;0,4540
13/07/16;15,85;0,4292
14/07/16;15,9;0,4046
15/07/16;15,95;0,3802
16/07/16;16;0,3560
17/07/16;16,05;0,3323
18/07/16;16,1;0,3090
19/07/16;16,15;0,2861
20/07/16;16,2;0,2638
21/07/16;16,25;0,2421
22/07/16;16,3;0,2210
23/07/16;16,35;0,2006
24/07/16;16,4;0,1809
25/07/16;16,45;0,1621
26/07/16;16,5;0,1441
27/07/16;16,55;0,1270
28/07/16;16,6;0,1108
29/07/16;16,65;0,0956
30/07/16;16,7;0,0814
31/07/16;16,75;0,0683
01/08/16;16,8;0,0562
02/08/16;16,85;0,0453
03/08/16;16,9;0,0354
04/08/16;16,95;0,0268
05/08/16;17;0,0193
06/08/16;17,05;0,0130
07/08/16;17,1;0,0080
08/08/16;17,15;0,0041
09/08/16;17,2;0,0015
10/08/16;17,25;0,0002
11/08/16;17,3;0,0001
12/08/16;17,35;0,0013
13/08/16;17,4;0,0037
14/08/16;17,45;0,0073
15/08/16;17,5;0,0122
16/08/16;17,55;0,0183
17/08/16;17,6;0,0256
18/08/16;17,65;0,0341
19/08/16;17,7;0,0437
20/08/16;17,75;0,0545
21/08/16;17,8;0,0664
22/08/16;17,85;0,0794
23/08/16;17,9;0,0934
24/08/16;17,95;0,1085
25/08/16;18;0,1245
26/08/16;18,05;0,1415
27/08/16;18,1;0,1593
28/08/16;18,15;0,1781
29/08/16;18,2;0,1976
30/08/16;18,25;0,2179
31/08/16;18,3;0,2388
01/09/16;18,35;0,2605
02/09/16;18,4;0,2827
03/09/16;18,45;0,3055
04/09/16;18,5;0,3288
05/09/16;18,55;0,3525
06/09/16;18,6;0,3765
07/09/16;18,65;0,4009
08/09/16;18,7;0,4255
09/09/16;18,75;0,4503
10/09/16;18,8;0,4752
11/09/16;18,85;0,5002
12/09/16;18,9;0,5252
13/09/16;18,95;0,5501
14/09/16;19;0,5749
15/09/16;19,05;0,5996
16/09/16;19,1;0,6239
17/09/16;19,15;0,6480
18/09/16;19,2;0,6717
19/09/16;19,25;0,6949
20/09/16;19,3;0,7177
21/09/16;19,35;0,7399
22/09/16;19,4;0,7615
23/09/16;19,45;0,7825
24/09/16;19,5;0,8028
25/09/16;19,55;0,8223
26/09/16;19,6;0,8410
27/09/16;19,65;0,8588
28/09/16;19,7;0,8758
29/09/16;19,75;0,8918
30/09/16;19,8;0,9068
01/10/16;19,85;0,9209
02/10/16;19,9;0,9338
03/10/16;19,95;0,9457
04/10/16;20;0,9565
05/10/16;20,05;0,9661
06/10/16;20,1;0,9746
07/10/16;20,15;0,9818
08/10/16;20,2;0,9879
09/10/16;20,25;0,9928
10/10/16;20,3;0,9964
11/10/16;20,35;0,9988
12/10/16;20,4;0,9999
13/10/16;20,45;0,9998
14/10/16;20,5;0,9984
15/10/16;20,55;0,9958
16/10/16;20,6;0,9920
17/10/16;20,65;0,9869
18/10/16;20,7;0,9806
19/10/16;20,75;0,9731
20/10/16;20,8;0,9644
21/10/16;20,85;0,9546
22/10/16;20,9;0,9436
23/10/16;20,95;0,9315
24/10/16;21;0,9183
25/10/16;21,05;0,9041
26/10/16;21,1;0,8889
27/10/16;21,15;0,8727
28/10/16;21,2;0,8556
29/10/16;21,25;0,8376
30/10/16;21,3;0,8187
31/10/16;21,35;0,7991
01/11/16;21,4;0,7787
02/11/16;21,45;0,7576
03/11/16;21,5;0,7358
04/11/16;21,55;0,7135
05/11/16;21,6;0,6906
06/11/16;21,65;0,6673
07/11/16;21,7;0,6435
08/11/16;21,75;0,6194
09/11/16;21,8;0,5950
10/11/16;21,85;0,5703
11/11/16;21,9;0,5455
12/11/16;21,95;0,5206
13/11/16;22;0,4956
14/11/16;22,05;0,4706
15/11/16;22,1;0,4457
16/11/16;22,15;0,4209
17/11/16;22,2;0,3963
18/11/16;22,25;0,3720
19/11/16;22,3;0,3480
20/11/16;22,35;0,3244
21/11/16;22,4;0,3012
22/11/16;22,45;0,2785
23/11/16;22,5;0,2564
24/11/16;22,55;0,2349
25/11/16;22,6;0,2140
26/11/16;22,65;0,1939
27/11/16;22,7;0,1745
28/11/16;22,75;0,1560
29/11/16;22,8;0,1383
30/11/16;22,85;0,1215
01/12/16;22,9;0,1056
02/12/16;22,95;0,0907
03/12/16;23;0,0769
04/12/16;23,05;0,0641
05/12/16;23,1;0,0524
06/12/16;23,15;0,0418
07/12/16;23,2;0,0324
08/12/16;23,25;0,0241
09/12/16;23,3;0,0171
10/12/16;23,35;0,0112
11/12/16;23,4;0,0065
12/12/16;23,45;0,0031
13/12/16;23,5;0,0010
14/12/16;23,55;0,0000
15/12/16;23,6;0,0004
16/12/16;23,65;0,0019
17/12/16;23,7;0,0048
18/12/16;23,75;0,0088
19/12/16;23,8;0,0141
20/12/16;23,85;0,0206
21/12/16;23,9;0,0283
22/12/16;23,95;0,0372
23/12/16;24;0,0472
24/12/16;24,05;0,0584
25/12/16;24,1;0,0706
26/12/16;24,15;0,0840
27/12/16;24,2;0,0984
28/12/16;24,25;0,1138
29/12/16;24,3;0,1301
30/12/16;24,35;0,1474
31/12/16;24,4;0,1655
01/01/17;24,45;0,1845
02/01/17;24,5;0,2043
03/01/17;24,55;0,2248
04/01/17;24,6;0,2461
05/01/17;24,65;0,2679
06/01/17;24,7;0,2903
07/01/17;24,75;0,3133
08/01/17;24,8;0,3367
09/01/17;24,85;0,3605
10/01/17;24,9;0,3847
11/01/17;24,95;0,4091
12/01/17;25;0,4338
13/01/17;25,05;0,4587
14/01/17;25,1;0,4836
15/01/17;25,15;0,5086
16/01/17;25,2;0,5336
17/01/17;25,25;0,5585
18/01/17;25,3;0,5832
19/01/17;25,35;0,6078
20/01/17;25,4;0,6320
21/01/17;25,45;0,6560
22/01/17;25,5;0,6795
23/01/17;25,55;0,7026
24/01/17;25,6;0,7252
25/01/17;25,65;0,7472
26/01/17;25,7;0,7687
27/01/17;25,75;0,7894
28/01/17;25,8;0,8094
29/01/17;25,85;0,8287
30/01/17;25,9;0,8471
31/01/17;25,95;0,8646
01/02/17;26;0,8813
02/02/17;26,05;0,8970
03/02/17;26,1;0,9117
04/02/17;26,15;0,9253
05/02/17;26,2;0,9379
06/02/17;26,25;0,9495
07/02/17;26,3;0,9598
08/02/17;26,35;0,9691
09/02/17;26,4;0,9771
10/02/17;26,45;0,9840
11/02/17;26,5;0,9897
12/02/17;26,55;0,9941
13/02/17;26,6;0,9973
14/02/17;26,65;0,9993
15/02/17;26,7;1,0000
16/02/17;26,75;0,9995
17/02/17;26,8;0,9977
18/02/17;26,85;0,9946
19/02/17;26,9;0,9904
20/02/17;26,95;0,9849
21/02/17;27;0,9782
22/02/17;27,05;0,9703
23/02/17;27,1;0,9612
24/02/17;27,15;0,9510
25/02/17;27,2;0,9396
26/02/17;27,25;0,9272
27/02/17;27,3;0,9137
28/02/17;27,35;0,8991
01/03/17;27,4;0,8836
02/03/17;27,45;0,8670
03/03/17;27,5;0,8496
04/03/17;27,55;0,8313
05/03/17;27,6;0,8122
06/03/17;27,65;0,7923
07/03/17;27,7;0,7716
08/03/17;27,75;0,7503
09/03/17;27,8;0,7284
10/03/17;27,85;0,7059
11/03/17;27,9;0,6828
12/03/17;27,95;0,6593
13/03/17;28;0,6355
14/03/17;28,05;0,6112
15/03/17;28,1;0,5867
16/03/17;28,15;0,5620
17/03/17;28,2;0,5371
18/03/17;28,25;0,5122
19/03/17;28,3;0,4872
20/03/17;28,35;0,4622
21/03/17;28,4;0,4373
22/03/17;28,45;0,4126
23/03/17;28,5;0,3881
24/03/17;28,55;0,3639
25/03/17;28,6;0,3400
26/03/17;28,65;0,3166
27/03/17;28,7;0,2935
28/03/17;28,75;0,2710
29/03/17;28,8;0,2491
30/03/17;28,85;0,2278
31/03/17;28,9;0,2072
01/04/17;28,95;0,1873
02/04/17;29;0,1682
03/04/17;29,05;0,1499
04/04/17;29,1;0,1325
05/04/17;29,15;0,1160
06/04/17;29,2;0,1005
07/04/17;29,25;0,0860
08/04/17;29,3;0,0725
09/04/17;29,35;0,0600
10/04/17;29,4;0,0487
11/04/17;29,45;0,0385
12/04/17;29,5;0,0295
13/04/17;29,55;0,0216
14/04/17;29,6;0,0149
15/04/17;29,65;0,0095
16/04/17;29,7;0,0053
17/04/17;29,75;0,0023
18/04/17;29,8;0,0005
19/04/17;29,85;0,0000
20/04/17;29,9;0,0008
21/04/17;29,95;0,0027
22/04/17;30;0,0060
23/04/17;30,05;0,0105
24/04/17;30,1;0,0162
25/04/17;30,15;0,0231
26/04/17;30,2;0,0312
27/04/17;30,25;0,0404
28/04/17;30,3;0,0508
29/04/17;30,35;0,0624
30/04/17;30,4;0,0750
01/05/17;30,45;0,0887
02/05/17;30,5;0,1034
03/05/17;30,55;0,1192
04/05/17;30,6;0,1358
05/05/17;30,65;0,1534
06/05/17;30,7;0,1718
07/05/17;30,75;0,1911
08/05/17;30,8;0,2111
09/05/17;30,85;0,2319
10/05/17;30,9;0,2533
11/05/17;30,95;0,2754
12/05/17;31;0,2980
13/05/17;31,05;0,3211
14/05/17;31,1;0,3447
15/05/17;31,15;0,3686
16/05/17;31,2;0,3929
17/05/17;31,25;0,4174
18/05/17;31,3;0,4422
19/05/17;31,35;0,4671
20/05/17;31,4;0,4920
21/05/17;31,45;0,5170
22/05/17;31,5;0,5420
23/05/17;31,55;0,5668
24/05/17;31,6;0,5915
25/05/17;31,65;0,6160
26/05/17;31,7;0,6401
27/05/17;31,75;0,6639
28/05/17;31,8;0,6874
29/05/17;31,85;0,7103
30/05/17;31,9;0,7327
31/05/17;31,95;0,7545
01/06/17;32;0,7757
02/06/17;32,05;0,7962
03/06/17;32,1;0,8160
04/06/17;32,15;0,8349
05/06/17;32,2;0,8531
06/06/17;32,25;0,8703
07/06/17;32,3;0,8867
08/06/17;32,35;0,9020
09/06/17;32,4;0,9164
10/06/17;32,45;0,9297
11/06/17;32,5;0,9419
12/06/17;32,55;0,9531
13/06/17;32,6;0,9631
14/06/17;32,65;0,9719
15/06/17;32,7;0,9796
16/06/17;32,75;0,9861
17/06/17;32,8;0,9913
18/06/17;32,85;0,9953
19/06/17;32,9;0,9981
20/06/17;32,95;0,9997
21/06/17;33;1,0000
22/06/17;33,05;0,9990
23/06/17;33,1;0,9968
24/06/17;33,15;0,9933
25/06/17;33,2;0,9887
26/06/17;33,25;0,9828
27/06/17;33,3;0,9757
28/06/17;33,35;0,9674
29/06/17;33,4;0,9579
30/06/17;33,45;0,9473
01/07/17;33,5;0,9356
02/07/17;33,55;0,9228
03/07/17;33,6;0,9089
04/07/17;33,65;0,8940
05/07/17;33,7;0,8781
06/07/17;33,75;0,8613
07/07/17;33,8;0,8436
08/07/17;33,85;0,8250
09/07/17;33,9;0,8056
10/07/17;33,95;0,7854
11/07/17;34;0,7645
12/07/17;34,05;0,7430
13/07/17;34,1;0,7209
14/07/17;34,15;0,6982
15/07/17;34,2;0,6750
16/07/17;34,25;0,6513
17/07/17;34,3;0,6273
18/07/17;34,35;0,6030
19/07/17;34,4;0,5784
20/07/17;34,45;0,5537
21/07/17;34,5;0,5287
22/07/17;34,55;0,5038
23/07/17;34,6;0,4788
24/07/17;34,65;0,4538
25/07/17;34,7;0,4290
26/07/17;34,75;0,4044
27/07/17;34,8;0,3799
28/07/17;34,85;0,3558
29/07/17;34,9;0,3321
30/07/17;34,95;0,3088
31/07/17;35;0,2859
01/08/17;35,05;0,2636
02/08/17;35,1;0,2419
03/08/17;35,15;0,2208
04/08/17;35,2;0,2004
05/08/17;35,25;0,1808
06/08/17;35,3;0,1619
07/08/17;35,35;0,1440
08/08/17;35,4;0,1269
09/08/17;35,45;0,1107
10/08/17;35,5;0,0955
11/08/17;35,55;0,0813
12/08/17;35,6;0,0682
13/08/17;35,65;0,0561
14/08/17;35,7;0,0452
15/08/17;35,75;0,0354
16/08/17;35,8;0,0267
17/08/17;35,85;0,0192
18/08/17;35,9;0,0130
19/08/17;35,95;0,0079
20/08/17;36;0,0041
21/08/17;36,05;0,0015
22/08/17;36,1;0,0002
23/08/17;36,15;0,0001
24/08/17;36,2;0,0013
25/08/17;36,25;0,0037
26/08/17;36,3;0,0074
27/08/17;36,35;0,0122
28/08/17;36,4;0,0183
29/08/17;36,45;0,0256
30/08/17;36,5;0,0341
31/08/17;36,55;0,0438
01/09/17;36,6;0,0546
02/09/17;36,65;0,0665
03/09/17;36,7;0,0795
04/09/17;36,75;0,0936
05/09/17;36,8;0,1086
06/09/17;36,85;0,1247
07/09/17;36,9;0,1416
08/09/17;36,95;0,1595
09/09/17;37;0,1782
10/09/17;37,05;0,1978
11/09/17;37,1;0,2180
12/09/17;37,15;0,2390
13/09/17;37,2;0,2607
14/09/17;37,25;0,2829
15/09/17;37,3;0,3057
16/09/17;37,35;0,3290
17/09/17;37,4;0,3527
18/09/17;37,45;0,3767
19/09/17;37,5;0,4011
20/09/17;37,55;0,4257
21/09/17;37,6;0,4505
22/09/17;37,65;0,4755
23/09/17;37,7;0,5004
24/09/17;37,75;0,5254
25/09/17;37,8;0,5504
26/09/17;37,85;0,5752
27/09/17;37,9;0,5998
28/09/17;37,95;0,6241
29/09/17;38;0,6482
30/09/17;38,05;0,6719
01/10/17;38,1;0,6951
02/10/17;38,15;0,7179
03/10/17;38,2;0,7401
04/10/17;38,25;0,7617
05/10/17;38,3;0,7827
06/10/17;38,35;0,8029
07/10/17;38,4;0,8224
08/10/17;38,45;0,8411
09/10/17;38,5;0,8590
10/10/17;38,55;0,8759
11/10/17;38,6;0,8919
12/10/17;38,65;0,9070
13/10/17;38,7;0,9210
14/10/17;38,75;0,9339
15/10/17;38,8;0,9458
16/10/17;38,85;0,9566
17/10/17;38,9;0,9662
18/10/17;38,95;0,9746
19/10/17;39;0,9819
20/10/17;39,05;0,9880
21/10/17;39,1;0,9928
22/10/17;39,15;0,9964
23/10/17;39,2;0,9988
24/10/17;39,25;0,9999
25/10/17;39,3;0,9998
26/10/17;39,35;0,9984
27/10/17;39,4;0,9958
28/10/17;39,45;0,9919
29/10/17;39,5;0,9868
