<bid_top>;<bid_quantity>;<bid_amount>;<ask_top>;<ask_quantity>;<ask_amount>
1;0.56778393;0.64669296;0.14468607;0.01024779;0.03926362
0.97148096;0.58832471;0.67168832;1;0.00864397;0.03697333
0.97309386;0.58887436;0.67252705;1;0.01206254;0.04261287
0.99846041;0.57630267;0.65725931;1;0.00950299;0.03867561
0.99340176;0.59761282;0.68298446;1;0.0083449;0.03621339
0.9689883;0.54912587;0.62434356;0.9641647;0.0078831;0.03566905
0.96913492;0.59772714;0.68310544;0.96256273;0.00640598;0.03340313
0.96913492;0.55110301;0.62669314;0.96256273;0.00672003;0.03389129
1;0.59806487;0.6834787;1;0.00817857;0.03728208
1;0.55817477;0.65331721;1;0.03380094;0.29322029
1;0.55969759;0.6550094;1;0.03593748;0.30617474
0.98720777;0.56354469;0.66032787;1;0.03273694;0.30062554
0.93329075;0.53988193;0.63157754;1;0.04110095;0.31315891
0.93112362;0.55102493;0.64491141;0.97120848;0.03555636;0.30460502
0.88814813;0.55054897;0.64410724;0.94366839;0.03779862;0.30710655
0.88814813;0.58767782;0.68842213;0.9040391;0.04320185;0.31220641
0.88814813;0.56630425;0.66133676;0.86382798;0.04320184;0.2936119
0.83023517;0.58799966;0.6875891;0.85173878;0.04320176;0.29384024
0.83023517;0.60569441;0.7090733;0.85173878;0.02916196;0.27261699
0.81763199;0.57822737;0.67560025;0.83441309;0.04221327;0.29122711
0.81763199;0.5619393;0.65585199;0.79943846;0.02292393;0.26160291
0.81763199;0.59017362;0.68995319;0.79995565;0.0425657;0.29055071
0.81763199;0.56935006;0.66468659;0.80137791;0.03138224;0.26548221
0.81763199;0.54319876;0.63340456;0.81055794;0.02861495;0.261536
0.81763199;0.54592649;0.63660829;0.79711113;0.04086861;0.27970728
0.81763199;0.57826203;0.67557559;0.79872733;0.04645135;0.28800376
0.81763199;0.52645465;0.6130675;0.80183044;0.04013288;0.27863912
0.81763199;0.56991042;0.66557676;0.82335826;0.51854269;1
0.81763199;0.55439029;0.64689229;0.82827152;0.52041057;1
0.81763199;0.58795561;0.68744558;0.84443354;0.51401127;0.99308472
0.81763199;0.5940004;0.69448592;0.82465122;0.51470669;0.99314844
0.81763199;0.55639566;0.64894695;0.78961195;0.51305027;0.98887347
0.7744661;0.56871584;0.66367436;0.76995893;0.43785842;0.87964609
0.63983189;0.55890538;0.65171543;0.73744093;0.67439436;1
0.59999792;0.56069999;0.65377159;0.66729774;0.76914252;1
0.67621549;0.52641156;0.61273739;0.6839123;0.72856093;0.94781667
0.67621549;0.54441121;0.63348892;0.78278187;0.7283907;0.94706276
0.67621549;0.50598229;0.58702337;0.68009806;0.58707962;0.7645881
0.67621585;0.51978279;0.60372182;0.68048595;0.73314596;0.95340602
0.67621585;0.53340616;0.62023084;0.68326582;0.74811816;0.97256733
0.67621585;0.5426057;0.63134822;0.69464389;0.74521679;0.96886706
0.67621585;0.54462617;0.63374511;0.68817908;0.72786933;0.94299364
0.67621585;0.54500339;0.63418455;0.6735686;0.75094742;0.97281326
0.63665033;0.57411496;0.66896184;0.64848514;0.55990645;0.72571132
0.63665033;0.55852204;0.65012249;0.61719546;0.73136409;0.94722443
0.63665033;0.56212657;0.65452847;0.6122822;0.71226846;0.92227319
0.63665033;0.56842099;0.66211194;0.6445416;0.77538423;1
