<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
0.849;0.849;0.849;0.849;0
6.357;6.357;6.357;6.357;0
2.153;2.153;2.153;2.153;0
3.284;3.284;3.284;3.284;0
-1.099;-1.099;-1.099;-1.099;0
-7.472;-7.472;-7.472;-7.472;0
-1.906;-1.906;-1.906;-1.906;0
-1.86;-1.86;-1.86;-1.86;0
0;0;0;0;0
-0.71700;-0.71700;-0.71700;-0.71700;0
0.019000;0.019000;0.019000;0.019000;0
-0.00600;-0.00600;-0.00600;-0.00600;0
4.623;4.623;4.623;4.623;0
4.795;4.795;4.795;4.795;0
0.864000;0.864000;0.864000;0.864000;0
-3.744;-3.744;-3.744;-3.744;0
-0.73399;-0.73399;-0.73399;-0.73399;0
0.122;0.122;0.122;0.122;0
0.322999;0.322999;0.322999;0.322999;0
-0.23199;-0.23199;-0.23199;-0.23199;0
0.169;0.169;0.169;0.169;0
-0.05799;-0.05799;-0.05799;-0.05799;0
0.262;0.262;0.262;0.262;0
0.097000;0.097000;0.097000;0.097000;0
-0.23700;-0.23700;-0.23700;-0.23700;0
0.077999;0.077999;0.077999;0.077999;0
0.516000;0.516000;0.516000;0.516000;0
0.189999;0.189999;0.189999;0.189999;0
0.013000;0.013000;0.013000;0.013000;0
-0.48499;-0.48499;-0.48499;-0.48499;0
-0.37600;-0.37600;-0.37600;-0.37600;0
-1.608;-1.608;-1.608;-1.608;0
2.441;2.441;2.441;2.441;0
0.846999;0.846999;0.846999;0.846999;0
1.675;1.675;1.675;1.675;0
-1.034;-1.034;-1.034;-1.034;0
-0.75800;-0.75800;-0.75800;-0.75800;0
-0.32699;-0.32699;-0.32699;-0.32699;0
0.196999;0.196999;0.196999;0.196999;0
-0.21099;-0.21099;-0.21099;-0.21099;0
0.044000;0.044000;0.044000;0.044000;0
-0.16500;-0.16500;-0.16500;-0.16500;0
-0.23199;-0.23199;-0.23199;-0.23199;0
0.054999;0.054999;0.054999;0.054999;0
-0.41;-0.41;-0.41;-0.41;0
-0.55000;-0.55000;-0.55000;-0.55000;0
-0.47099;-0.47099;-0.47099;-0.47099;0
-0.18700;-0.18700;-0.18700;-0.18700;0
0.649999;0.649999;0.649999;0.649999;0
0;0;0;0;0
-0.285;-0.285;-0.285;-0.285;0
0.391999;0.391999;0.391999;0.391999;0
0.008000;0.008000;0.008000;0.008000;0
2.078;2.078;2.078;2.078;0
0.158999;0.158999;0.158999;0.158999;0
0.978000;0.978000;0.978000;0.978000;0
-0.24200;-0.24200;-0.24200;-0.24200;0
-0.01300;-0.01300;-0.01300;-0.01300;0
-1.319;-1.319;-1.319;-1.319;0
-0.16699;-0.16699;-0.16699;-0.16699;0
0.567999;0.567999;0.567999;0.567999;0
-0.23499;-0.23499;-0.23499;-0.23499;0
-0.05900;-0.05900;-0.05900;-0.05900;0
0.130000;0.130000;0.130000;0.130000;0
-0.00100;-0.00100;-0.00100;-0.00100;0
0.629999;0.629999;0.629999;0.629999;0
0.467000;0.467000;0.467000;0.467000;0
0.660999;0.660999;0.660999;0.660999;0
0.944000;0.944000;0.944000;0.944000;0
1.404;1.404;1.404;1.404;0
-0.19000;-0.19000;-0.19000;-0.19000;0
-0.09799;-0.09799;-0.09799;-0.09799;0
-0.25400;-0.25400;-0.25400;-0.25400;0
0.556999;0.556999;0.556999;0.556999;0
0.442;0.442;0.442;0.442;0
0.146000;0.146000;0.146000;0.146000;0
0.370000;0.370000;0.370000;0.370000;0
0.239999;0.239999;0.239999;0.239999;0
-0.20799;-0.20799;-0.20799;-0.20799;0
0.009999;0.009999;0.009999;0.009999;0
-0.77099;-0.77099;-0.77099;-0.77099;0
-0.599;-0.599;-0.599;-0.599;0
-0.33600;-0.33600;-0.33600;-0.33600;0
-0.44399;-0.44399;-0.44399;-0.44399;0
1.201;1.201;1.201;1.201;0
-0.131;-0.131;-0.131;-0.131;0
-0.16799;-0.16799;-0.16799;-0.16799;0
-4.002;-4.002;-4.002;-4.002;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
0;0;0;0;0
5.5923;5.6131;5.5923;5.6061;0
-0.17739;-0.1982;-0.17739;-0.20029;0
-0.01600;-0.01600;-0.01600;-0.00690;0
-0.419;-0.419;-0.419;-0.419;0
0.1907;0.1907;0.1907;0.1907;0
-0.09789;-0.09789;-0.09789;-0.09789;0
0.139800;0.139800;0.139800;0.139800;0
0.023099;0.023099;0.023099;0.023099;0
-0.04070;-0.04070;-0.04070;-0.04070;0
-0.05799;-0.05799;-0.05799;-0.05799;0
0.003499;0.003499;0.003499;0.003499;0
-0.2028;-0.2028;-0.2028;-0.2028;0
-0.0244;-0.0244;-0.0244;-0.0244;0
0.133600;0.133600;0.133600;0.133600;0
-0.03140;-0.03140;-0.03140;-0.03140;0
0.028600;0.102600;-0.02740;0.030600;0
-0.22309;-0.2971;-0.16709;-0.22510;0
0.103300;0.103300;0.103300;0.103300;0
-0.10790;-0.10790;-0.10790;-0.10790;0
-0.37369;-0.37369;-0.37369;-0.37369;0
-0.22480;-0.22480;-0.22480;-0.22480;0
-0.07179;-0.07179;-0.07179;-0.07179;0
-0.00469;-0.00469;-0.00469;-0.00469;0
0.1645;0.1645;0.1645;0.1645;0
-0.1036;-0.1036;-0.1036;-0.1036;0
-0.07890;-0.07890;-0.07890;-0.07890;0
0.129100;0.129100;0.129100;0.129100;0
-0.02720;-0.02720;-0.02720;-0.02720;0
0.116800;0.116800;0.116800;0.116800;0
-0.00740;-0.00740;-0.00740;-0.00740;0
0.025099;0.025099;0.025099;0.025099;0
-0.01399;-0.01399;-0.01399;-0.01399;0
0.122600;0.122600;0.122600;0.122600;0
-0.04800;-0.04800;-0.04800;-0.04800;0
0.144200;0.144200;0.144200;0.144200;0
-0.40810;-0.40810;-0.40810;-0.40810;0
0.410399;0.410399;0.410399;0.410399;0
0.4116;0.4116;0.4116;0.4116;0
0.586300;0.586300;0.586300;0.586300;0
-0.28399;-0.28399;-0.28399;-0.28399;0
-0.06140;0.2135;-0.09750;0.2014;0
0.249400;0.293799;0.285499;0.293499;0
0.282399;1.641;0.282399;1.6351;0
1.47;1.3;1.3245;-3.3627;0
1.3956;-0.04940;-0.09959;3.2802;0
-1.2172;-1.259;-1.0142;-0.56510;0
-1.6537;-1.5126;-0.36799;-1.3861;0
-0.4313;0.049900;-0.27929;0.563499;0
0.518699;1.07;0.518699;1.0165;0
0.654799;-0.53990;0.5808;-0.54299;0
0.606000;0.740000;0.535;0.3767;0
-0.29289;-0.125;-0.22200;0.049299;0
0.090900;0.009000;0.155000;-0.32699;0
0.228999;0.009000;0.239000;0.608000;0
-0.04100;-0.04100;-0.04100;-0.04100;0
-0.09700;-0.09700;-0.09700;-0.09700;0
-0.39199;-0.39199;-0.39199;-0.39199;0
0.053999;0.053999;0.053999;0.053999;0
-0.56399;-0.56399;-0.56399;-0.56399;0
-0.05800;-0.05800;-0.05800;-0.05800;0
-0.65899;-0.65899;-0.65899;-0.65899;0
-0.00499;-0.00499;-0.00499;-0.00499;0
-0.21100;-0.21100;-0.21100;-0.21100;0
0.035000;0.035000;0.035000;0.035000;0
0.101000;0.101000;0.101000;0.101000;0
-0.61100;-0.61100;-0.61100;-0.61100;0
0.202999;0.202999;0.202999;0.202999;0
-0.06700;-0.06700;-0.06700;-0.06700;0
-0.38899;-0.38899;-0.38899;-0.38899;0
0.413999;0.413999;0.413999;0.413999;0
0.094000;0.094000;0.094000;0.094000;0
0.065000;0.065000;0.065000;0.065000;0
0.018000;0.018000;0.018000;0.018000;0
-0.259;-0.259;-0.259;-0.259;0
0.281199;0.281199;0.281199;0.281199;0
-0.07420;-0.07420;-0.07420;-0.07420;0
-0.07599;-0.07599;-0.07599;-0.07599;0
