<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
EURRUB;D;01/09/98;00:00:00;13,4210000;13,4210000;13,4210000;13,4210000;0
EURRUB;D;02/09/98;00:00:00;14,2700000;14,2700000;14,2700000;14,2700000;0
EURRUB;D;03/09/98;00:00:00;20,6270000;20,6270000;20,6270000;20,6270000;0
EURRUB;D;04/09/98;00:00:00;22,7800000;22,7800000;22,7800000;22,7800000;0
EURRUB;D;07/09/98;00:00:00;26,0640000;26,0640000;26,0640000;26,0640000;0
EURRUB;D;08/09/98;00:00:00;24,9650000;24,9650000;24,9650000;24,9650000;0
EURRUB;D;09/09/98;00:00:00;17,4930000;17,4930000;17,4930000;17,4930000;0
EURRUB;D;10/09/98;00:00:00;15,5870000;15,5870000;15,5870000;15,5870000;0
EURRUB;D;11/09/98;00:00:00;13,7270000;13,7270000;13,7270000;13,7270000;0
EURRUB;D;13/09/98;00:00:00;13,7270000;13,7270000;13,7270000;13,7270000;0
EURRUB;D;14/09/98;00:00:00;13,0100000;13,0100000;13,0100000;13,0100000;0
EURRUB;D;15/09/98;00:00:00;13,0290000;13,0290000;13,0290000;13,0290000;0
EURRUB;D;16/09/98;00:00:00;13,0230000;13,0230000;13,0230000;13,0230000;0
EURRUB;D;17/09/98;00:00:00;17,6460000;17,6460000;17,6460000;17,6460000;0
EURRUB;D;18/09/98;00:00:00;22,4410000;22,4410000;22,4410000;22,4410000;0
EURRUB;D;21/09/98;00:00:00;23,3050000;23,3050000;23,3050000;23,3050000;0
EURRUB;D;22/09/98;00:00:00;19,5610000;19,5610000;19,5610000;19,5610000;0
EURRUB;D;23/09/98;00:00:00;18,8270000;18,8270000;18,8270000;18,8270000;0
EURRUB;D;24/09/98;00:00:00;18,9490000;18,9490000;18,9490000;18,9490000;0
EURRUB;D;25/09/98;00:00:00;19,2720000;19,2720000;19,2720000;19,2720000;0
EURRUB;D;28/09/98;00:00:00;19,0400000;19,0400000;19,0400000;19,0400000;0
EURRUB;D;29/09/98;00:00:00;19,2090000;19,2090000;19,2090000;19,2090000;0
EURRUB;D;30/09/98;00:00:00;19,1510000;19,1510000;19,1510000;19,1510000;0
EURRUB;D;01/10/98;00:00:00;19,4130000;19,4130000;19,4130000;19,4130000;0
EURRUB;D;02/10/98;00:00:00;19,5100000;19,5100000;19,5100000;19,5100000;0
EURRUB;D;05/10/98;00:00:00;19,2730000;19,2730000;19,2730000;19,2730000;0
EURRUB;D;06/10/98;00:00:00;19,3510000;19,3510000;19,3510000;19,3510000;0
EURRUB;D;07/10/98;00:00:00;19,8670000;19,8670000;19,8670000;19,8670000;0
EURRUB;D;08/10/98;00:00:00;20,0570000;20,0570000;20,0570000;20,0570000;0
EURRUB;D;09/10/98;00:00:00;20,0700000;20,0700000;20,0700000;20,0700000;0
EURRUB;D;12/10/98;00:00:00;19,5850000;19,5850000;19,5850000;19,5850000;0
EURRUB;D;13/10/98;00:00:00;19,2090000;19,2090000;19,2090000;19,2090000;0
EURRUB;D;14/10/98;00:00:00;17,6010000;17,6010000;17,6010000;17,6010000;0
EURRUB;D;15/10/98;00:00:00;20,0420000;20,0420000;20,0420000;20,0420000;0
EURRUB;D;16/10/98;00:00:00;20,8890000;20,8890000;20,8890000;20,8890000;0
EURRUB;D;19/10/98;00:00:00;22,5640000;22,5640000;22,5640000;22,5640000;0
EURRUB;D;20/10/98;00:00:00;21,5300000;21,5300000;21,5300000;21,5300000;0
EURRUB;D;21/10/98;00:00:00;20,7720000;20,7720000;20,7720000;20,7720000;0
EURRUB;D;22/10/98;00:00:00;20,4450000;20,4450000;20,4450000;20,4450000;0
EURRUB;D;23/10/98;00:00:00;20,6420000;20,6420000;20,6420000;20,6420000;0
EURRUB;D;26/10/98;00:00:00;20,4310000;20,4310000;20,4310000;20,4310000;0
EURRUB;D;27/10/98;00:00:00;20,4750000;20,4750000;20,4750000;20,4750000;0
EURRUB;D;28/10/98;00:00:00;20,3100000;20,3100000;20,3100000;20,3100000;0
EURRUB;D;29/10/98;00:00:00;20,0780000;20,0780000;20,0780000;20,0780000;0
EURRUB;D;30/10/98;00:00:00;20,1330000;20,1330000;20,1330000;20,1330000;0
EURRUB;D;02/11/98;00:00:00;19,7230000;19,7230000;19,7230000;19,7230000;0
