<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;
1;1;1;1;не ч;
1;1;1;1;не ч;
1;1;1;1;не ч;
0;0;0;0;не ч;
0;0;0;0;не ч;
0;0;0;0;не ч;
0;0;0;0;не ч;
0.5;0.5;0.5;0.5;не ч;
0;0;0;0;не ч;
0.52;0.52;0.52;0.52;не ч;
0.49;0.49;0.49;0.49;не ч;
1;1;1;1;не ч;
1;1;1;1;не ч;
0.89;0.89;0.89;0.89;не ч;
0;0;0;0;не ч;
0;0;0;0;не ч;
0.59;0.59;0.59;0.59;не ч;
0.72;0.72;0.72;0.72;не ч;
0.24;0.24;0.24;0.24;не ч;
0.62;0.62;0.62;0.62;не ч;
0.44;0.44;0.44;0.44;не ч;
0.68;0.68;0.68;0.68;не ч;
0.57;0.57;0.57;0.57;не ч;
0.24;0.24;0.24;0.24;не ч;
0.56;0.56;0.56;0.56;не ч;
0.80;0.80;0.80;0.80;не ч;
0.63;0.63;0.63;0.63;не ч;
0.51;0.51;0.51;0.51;не ч;
0;0;0;0;не ч;
0.02;0.02;0.02;0.02;не ч;
0;0;0;0;не ч;
1;1;1;1;не ч;
0.91;0.91;0.91;0.91;не ч;
1;1;1;1;не ч;
0;0;0;0;не ч;
0;0;0;0;не ч;
0.14;0.14;0.14;0.14;не ч;
0.63;0.63;0.63;0.63;не ч;
0.29;0.29;0.29;0.29;не ч;
0.53;0.53;0.53;0.53;не ч;
0.34;0.34;0.34;0.34;не ч;
0.26;0.26;0.26;0.26;не ч;
0.54;0.54;0.54;0.54;не ч;
0;0;0;0;не ч;
0;0;0;0;не ч;
0;0;0;0;не ч;
0.30;0.30;0.30;0.30;не ч;
0.86;0.86;0.86;0.86;не ч;
0.5;0.5;0.5;0.5;не ч;
0.17;0.17;0.17;0.17;не ч;
0.75;0.75;0.75;0.75;не ч;
0.50;0.50;0.50;0.50;не ч;
1;1;1;1;не ч;
0.61;0.61;0.61;0.61;не ч;
0.93;0.93;0.93;0.93;не ч;
0.28;0.28;0.28;0.28;не ч;
0.49;0.49;0.49;0.49;не ч;
0;0;0;0;0;

