<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURRUB,D,01/09/98,00:00:00,13.4210000,13.4210000,13.4210000,13.4210000,0
EURRUB,D,02/09/98,00:00:00,14.2700000,14.2700000,14.2700000,14.2700000,0
EURRUB,D,03/09/98,00:00:00,20.6270000,20.6270000,20.6270000,20.6270000,0
EURRUB,D,04/09/98,00:00:00,22.7800000,22.7800000,22.7800000,22.7800000,0
EURRUB,D,07/09/98,00:00:00,26.0640000,26.0640000,26.0640000,26.0640000,0
EURRUB,D,08/09/98,00:00:00,24.9650000,24.9650000,24.9650000,24.9650000,0
EURRUB,D,09/09/98,00:00:00,17.4930000,17.4930000,17.4930000,17.4930000,0
EURRUB,D,10/09/98,00:00:00,15.5870000,15.5870000,15.5870000,15.5870000,0
EURRUB,D,11/09/98,00:00:00,13.7270000,13.7270000,13.7270000,13.7270000,0
EURRUB,D,13/09/98,00:00:00,13.7270000,13.7270000,13.7270000,13.7270000,0
EURRUB,D,14/09/98,00:00:00,13.0100000,13.0100000,13.0100000,13.0100000,0
