<TICKER>;<PER>;<DATEandTIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
EURRUB;1;20110805 16:07:00;40,0367000;40,0460000;40,0364000;40,0412000;7
EURRUB;1;20110805 16:08:00;40,0415000;40,0415000;40,0364000;40,0381000;7
EURRUB;1;20110805 16:09:00;40,0338000;40,0364000;40,0253000;40,0307000;7
EURRUB;1;20110805 16:10:00;40,0265000;40,0296000;40,0265000;40,0296000;7
EURRUB;1;20110805 16:11:00;40,0250000;40,0324000;40,0188000;40,0324000;8
EURRUB;1;20110805 16:12:00;40,0336000;40,0443000;40,0319000;40,0440000;7
EURRUB;1;20110805 16:13:00;40,0435000;40,0519000;40,0369000;40,0519000;7
EURRUB;1;20110805 16:14:00;40,0567000;40,0579000;40,0429000;40,0494000;6
EURRUB;1;20110805 16:15:00;40,0477000;40,0485000;40,0381000;40,0381000;4
EURRUB;1;20110805 16:16:00;40,0390000;40,0680000;40,0390000;40,0491000;4
EURRUB;1;20110805 16:17:00;40,0517000;40,0579000;40,0517000;40,0541000;4
EURRUB;1;20110805 16:18:00;40,0548000;40,0692000;40,0548000;40,0650000;7
EURRUB;1;20110805 16:19:00;40,0692000;40,0739000;40,0692000;40,0709000;6
EURRUB;1;20110805 16:20:00;40,0734000;40,0822000;40,0730000;40,0822000;6
EURRUB;1;20110805 16:21:00;40,0940000;40,0940000;40,0805000;40,0833000;7
EURRUB;1;20110805 16:22:00;40,0850000;40,0904000;40,0757000;40,0904000;6
EURRUB;1;20110805 16:23:00;40,0811000;40,1003000;40,0802000;40,1003000;7
EURRUB;1;20110805 16:24:00;40,1000000;40,1278000;40,0933000;40,1199000;7
EURRUB;1;20110805 16:25:00;40,1049000;40,1122000;40,1048000;40,1111000;6
EURRUB;1;20110805 16:26:00;40,1220000;40,1221000;40,1131000;40,1131000;8
EURRUB;1;20110805 16:27:00;40,1204000;40,1263000;40,1105000;40,1105000;5
EURRUB;1;20110805 16:28:00;40,0888000;40,1010000;40,0888000;40,1010000;6
EURRUB;1;20110805 16:29:00;40,1027000;40,1027000;40,0840000;40,0877000;5
EURRUB;1;20110805 16:30:00;40,0840000;40,0843000;40,0775000;40,0815000;5
