"MT_250";"MT_251";"MT_252";"MT_253"
0.06489832;0.24931601;0.27895922;0.21673084
0.08264073;0.26402189;0.24318239;0.25887378
0.09442971;0.1808677;0.23960828;0.27394417
0.10621869;0.13201094;0.25751456;0.23781735
0.10621869;0.11730506;0.26108867;0.24082541
0.09442971;0.15155364;0.22888595;0.23781735
0.12979664;0.14178229;0.26108867;0.2257851
0.08853522;0.12712527;0.25390471;0.2257851
0.04721485;0.12223959;0.23960828;0.22879317
0.08264073;0.14178229;0.22531184;0.23480929
0.1003242;0.12712527;0.25751456;0.26491999
0.06489832;0.09287669;0.26108867;0.22879317
0.04132037;0.07333398;0.23603417;0.26191192
0.05900383;0.14666797;0.25390471;0.22277704
0.1003242;0.13689662;0.2467565;0.21372278
0.12979664;0.11241939;0.271811;0.21976898
0.1003242;0.10753371;0.23246006;0.23180123
0.08853522;0.15643932;0.271811;0.22277704
0.08264073;0.13201094;0.25390471;0.24082541
0.09442971;0.11241939;0.2467565;0.21071472
0.06489832;0.10753371;0.2467565;0.27394417
0.09442971;0.14666797;0.26108867;0.24082541
0.09442971;0.12712527;0.25751456;0.2257851
0.07079281;0.11730506;0.28253333;0.21372278
0.1003242;0.11730506;0.2467565;0.23781735
0.05310934;0.10753371;0.23246006;0.27394417
0.1003242;0.10264804;0.2467565;0.25887378
0.09442971;0.14666797;0.271811;0.22277704
0.09442971;0.42046121;0.27895922;0.30808567
0.0766873;0.49379519;0.35405125;0.30507761
0.08264073;0.41068986;0.30758783;0.30507761
0.06489832;0.41068986;0.31116194;0.28296836
0.04132037;0.48890952;0.37553165;0.320148
0.05310934;0.38132695;0.32545838;0.35332692
0.0766873;0.38132695;0.35047714;0.44383949
0.07079281;0.47425249;0.38982809;0.43779329
0.07079281;0.3324702;0.3969763;0.48908074
0.04721485;0.42046121;0.36123521;0.44083143
0.08853522;0.49379519;0.38625398;0.44083143
0.12390215;0.35689857;0.38982809;0.45590182
0.07079281;0.40580418;0.37195754;0.43177716
0.11211317;0.48890952;0.36838343;0.43478522
0.11211317;0.34712722;0.34690303;0.41667669
0.09442971;0.40580418;0.36123521;0.34731079
0.11211317;0.46443228;0.37553165;0.37444351
0.09442971;0.34712722;0.3576611;0.37143545
0.12390215;0.38621262;0.37910576;0.37748165
0.06489832;0.45466093;0.36838343;0.36238118
0.11800766;0.36178425;0.35047714;0.37143545
0.10621869;0.40091851;0.35405125;0.38653592
0.11211317;0.45954661;0.36123521;0.38048971
0.1003242;0.38132695;0.37553165;0.34731079
0.11211317;0.3715556;0.36838343;0.320148
0.15932803;0.46936682;0.34690303;0.36842739
0.11211317;0.35689857;0.36480932;0.37143545
0.11211317;0.3715556;0.34332893;0.35031885
0.08264073;0.45954661;0.37910576;0.35332692
0.08853522;0.35689857;0.35047714;0.36842739
0.12390215;0.36178425;0.34690303;0.35636506
0.1003242;0.45466093;0.35405125;0.34731079
0.07079281;0.3324702;0.37910576;0.37444351
0.11800766;0.37644127;0.36480932;0.33524847
0.11211317;0.48402384;0.38267987;0.35636506
0.12390215;0.39598397;0.3969763;0.35332692
0.12390215;0.34712722;0.37553165;0.3955601
0.10621869;0.47425249;0.36123521;0.3955601
0.13569113;0.3910983;0.42203081;0.4016063
0.11211317;0.3520129;0.38267987;0.45590182
0.12979664;0.45954661;0.38267987;0.44684755
0.14158562;0.49379519;0.41488259;0.42873902
0.0766873;0.44000391;0.40769863;0.45590182
0.10621869;0.49868087;0.40769863;0.44383949
0.08264073;0.5835939;0.4184567;0.44985561
0.0766873;0.45466093;0.38625398;0.50718927
0.08264073;0.46443228;0.41130848;0.45890988
0.14748011;0.60318546;0.4184567;0.47097221
0.31270262;0.46443228;0.38267987;0.46495608
0.46790451;0.44977526;0.42917903;0.47701841
0.50333039;0.53947626;0.41488259;0.43478522
0.46790451;0.53459058;0.38267987;0.43478522
0.44420866;0.44977526;0.40055041;0.44985561
0.44420866;0.50845222;0.42560492;0.48908074
0.47969349;0.5835939;0.39340219;0.48306461
0.4501621;0.42534688;0.37910576;0.45590182
0.45605659;0.42534688;0.37910576;0.45289376
0.48558798;0.5835939;0.37553165;0.43177716
0.46790451;0.5198847;0.37910576;0.41971484
0.47969349;0.45466093;0.37553165;0.42873902
0.473799;0.48890952;0.35405125;0.43177716
0.42057177;0.5835939;0.30397798;0.44383949
0.4974359;0.44977526;0.28968155;0.42873902
0.46790451;0.45466093;0.29325566;0.45590182
0.36575302;0.40091851;0.27538511;0.43177716
0.33628058;0.29333594;0.27895922;0.41667669
0.28317123;0.26402189;0.271811;0.30808567
0.28906572;0.26402189;0.27538511;0.23781735
0.1003242;0.24443033;0.2467565;0.24684154
0.1003242;0.24931601;0.23603417;0.25887378
0.11800766;0.20045925;0.25033061;0.23480929
0.09442971;0.12712527;0.25751456;0.22879317
0.14158562;0.10753371;0.22531184;0.23781735
0.10621869;0.14666797;0.23246006;0.24684154
0.11800766;0.13201094;0.23960828;0.25285766
