"MT_251";"MT_252";"MT_253";"MT_254"
0.82297298;0.02070383;0.98667104;0.98215812;
0.03485171;0.18391306;0.96287428;0.03847479;
0.05887508;0.95880675;0.01554532;0.9742664;
0.17702702;0.81608694;0.83103926;0.94254079;
0.91697703;0.02299411;0.16896074;0.07597878;
0.23939634;0.97700589;0.04638092;0.03302877;
0.17750231;0.09984404;0.5;0.96697123;
0.34375931;0.05143219;0.83103926;0.0461472;
0.86073421;0.05143219;0.90912798;0.19921311;
0.17750231;0.97700589;0.98135523;0.07597878;
0.08302297;0.81608694;0.01554532;0.79928087;
0.13926579;0.02952107;0.98304531;0.0461472;
0.9605262;0.95872529;0.01435213;0.07597878;
0.23939634;0.10031094;0.06130625;0.5;
0.11376834;0.97047893;0.90955608;0.20071913;
0.34375931;0.01882797;0.95361908;0.9538528;
0.94118241;0.98117203;0.06150557;0.5;
0.11397694;0.04119325;0.96895747;0.05745921;
0.13896101;0.10031094;0.01864477;0.92402122;
0.34375931;0.5;0.99111326;0.11140046;
0.92695784;0.94869385;0.01695469;0.04605637;
0.13926579;0.18391306;0.0371993;0.96697123;
0.23860444;0.970437;0.04626688;0.96146171;
0.5;0.02070383;0.9767148;0.02319548;
0.23939634;0.05143219;0.98445468;0.11089009;
0.34375931;0.94856781;0.03712572;0.942681;
0.93482662;0.97047893;0.01555826;0.94254079;
0.98937658;0.89968906;0.99341251;0.0461472;
0.9605262;0.99012511;0.16896074;0.97103444;
0.03487203;0.0159511;0.5;0.5;
0.5;0.81608694;0.02536764;0.07597878;
0.96296886;0.98848154;0.98489421;0.9710704;
0.02698141;0.01480288;0.98307599;0.88859954;
0.5;0.970437;0.99379115;0.88859954;
0.96878823;0.98117203;0.09044392;0.9681879;
0.02049396;0.89968906;0.98904551;0.92426421;
0.96705002;0.02072447;0.01164368;0.02496122;
0.9605262;0.970437;0.5;0.20071913;
0.02122323;0.81608694;0.96287428;0.88859954;
0.94118241;0.04127471;0.02325627;0.5;
0.96512797;0.18391306;0.83103926;0.0461472;
0.02049396;0.0343976;0.03094005;0.96692439;
0.95080693;0.94869385;0.00810094;0.0461472;
0.95076658;0.94856781;0.97931432;0.79928087;
0.02475455;0.04127471;0.16896074;0.11140046;
0.92686971;0.96554552;0.90955608;0.9538528;
0.95774057;0.06812001;0.03705243;0.94622629;
0.03122808;0.04119325;0.93869375;0.02057116;
0.92695784;0.81608694;0.96294757;0.97682761;
0.95076658;0.90015596;0.09044392;0.0289296;
0.03703114;0.94856781;0.01692401;0.97745602;
0.23939634;0.10031094;0.02066283;0.96152521;
0.97033802;0.0343976;0.98836357;0.04605637;
0.02581458;0.95880675;0.83103926;0.04364988;
0.82249769;0.0343976;0.02655474;0.97747783;
0.96705002;0.97929617;0.83103926;0.02795759;
0.02827182;0.02585287;0.96294757;0.96322237;
0.65624069;0.18391306;0.04626688;0.11089009;
0.96877192;0.89968906;0.06130625;0.20071913;
0.02376851;0.97047893;0.97931432;0.03176875;
0.93475622;0.05143219;0.01433013;0.20071913;
0.97301859;0.95872529;0.97344526;0.94254079;
0.03293182;0.94856781;0.16758136;0.03853829;
0.05887508;0.03445448;0.98669949;0.98254637;
0.97715086;0.05143219;0.5;0.20071913;
0.03485171;0.98780503;0.90955608;0.05717946;
0.07313029;0.01882797;0.98965196;0.9615885;
0.97300639;0.5;0.06130625;0.20071913;
0.91697703;0.97700589;0.03094005;0.5;
0.05358058;0.09984404;0.97933717;0.20071913;
0.95080693;0.5;0.04626688;0.95394363;
0.96586461;0.93209949;0.90912798;0.0384115;
0.02252986;0.02299411;0.99019995;0.05377371;
0.76060366;0.97047893;0.01163643;0.93029277;
0.97905991;0.89968906;0.95373312;0.11089009;
0.02094009;0.02070383;0.09087202;0.80078689;
0.17750231;0.98406114;0.95373312;0.92426421;
0.9676738;0.05143219;0.01330051;0.03671977;
0.34375931;0.02299411;0.5;0.20071913;
0.03417441;0.95872529;0.96287428;0.95635012;
0.95080693;0.97047893;0.98568084;0.79928087;
0.96146647;0.02299411;0.09087202;0.04364988;
0.01836668;0.05143219;0.02066283;0.94634927;
0.5;0.5;0.16896074;0.02254398;
0.98163332;0.18391306;0.02655474;0.92402122;
0.04536201;0.81608694;0.04626688;0.5;
0.04432238;0.18391306;0.93849443;0.02896556;
0.91697703;0.0343976;0.83241864;0.5;
0.96936441;0.01480288;0.95373312;0.88859954;
0.0217099;0.05143219;0.03705243;0.0257336;
0.65624069;0.81608694;0.97933717;0.96146171;
0.05362838;0.04127471;0.02325627;0.05745921;
0.02698141;0.81608694;0.03705243;0.03853829;
0.09621788;0.10031094;0.00517539;0.97680452;
0.5;0.81608694;0.00799694;0.07597878;
0.13896101;0.02585287;0.93849443;0.07597878;
0.65624069;0.06812001;0.95361908;0.94254079;
0.05887508;0.94856781;0.02331421;0.05745921;
0.0394738;0.90015596;0.09087202;0.98778905;
0.13896101;0.02299411;0.93849443;0.03302877;
0.92695784;0.89968906;0.93849443;0.03302877;
0.17750231;0.89968906;0.90912798;0.11140046;
0.17702702;0.5;0.02073151;0.942681;
0.23939634;0.18391306;0.01435213;0.5;
0.92695784;0.18391306;0.9901742;0.5;
0.17750231;0.89968906;0.04638092;0.04605637;
0.06517338;0.10031094;0.06150557;0.92402122;
0.17750231;0.89968906;0.95361908;0.02896556;
0.97300639;0.5;0.0232852;0.0289296;
0.05362838;0.81608694;0.9690088;0.9710704;
0.13896101;0.97047893;0.9628007;0.20071913;
0.82297298;0.0343976;0.01864477;0.96692439;
0.88602306;0.05143219;0.96287428;0.0461472;
0.17750231;0.97047893;0.0232852;0.04605637;
0.13896101;0.06790051;0.98564787;0.95394363;
0.34375931;0.06812001;0.5;0.99498928;
0.91697703;0.93187999;0.03104253;0.98897088;
0.11376834;0.94869385;0.5;0.11089009;
0.5;0.98406114;0.90912798;0.01929191;
0.17750231;0.99454188;0.96895747;0.98780826;
0.5;0.97047893;0.99164931;0.20071913;
0.34375931;0.99212839;0.01510579;0.00827329;
0.93482662;0.01826522;0.99614447;0.11089009;
0.99040333;0.99430215;0.98904551;0.9615885;
0.95873052;0.99059485;0.5;0.97432315;
0.9923866;0.00689846;0.01431916;0.88859954;
0.23939634;0.01292361;0.0124171;0.20071913;
0.13896101;0.99507309;0.98448048;0.99109258;
0.0156148;0.04119325;0.99068821;0.942681;
0.94129705;0.98965262;0.99545634;0.98553232;
0.93489688;0.0229687;0.83103926;0.96701794;
0.02470331;0.97052075;0.16896074;0.97110628;
0.91709002;0.98910987;0.16758136;0.02567685;
0.11356048;0.01216639;0.01860768;0.99276242;
0.96060414;0.97417922;0.16896074;0.01653541;
0.11376834;0.9656591;0.98836357;0.79928087;
0.09591725;0.9588879;0.02655474;0.0384115;
0.94651475;0.9656024;0.01163643;0.5;
0.95092757;0.0147713;0.16896074;0.98457248;
0.0197671;0.9656591;0.97344526;0.99298736;
0.92713347;0.95880675;0.98448048;0.01357249;
0.97529669;0.04119325;0.5;0.01364418;
0.01521616;0.98620956;0.97677258;0.92402122;
0.98709665;0.01034738;0.03705243;0.20071913;
0.11376834;0.9656024;0.99223885;0.20071913;
0.02195764;0.97933734;0.01163643;0.9615885;
0.97179495;0.00985146;0.04626688;0.98455198;
0.86103899;0.02947925;0.93869375;0.92450567;
0.01603918;0.9656591;0.02655474;0.01446768;
0.94651475;0.81608694;0.06130625;0.98456223;
0.95088742;0.9588879;0.97344526;0.9769652;
0.02196572;0.01292361;0.0124171;0.9429594;
0.98254735;0.94869385;0.96905995;0.03828553;
0.13896101;0.81753309;0.16758136;0.00680723;
0.01380298;0.93187999;0.90955608;0.97687366;
0.96885331;0.06812001;0.02066283;0.79928087;
0.95088742;0.9656024;0.98139232;0.02103607;
0.05348525;0.0343976;0.9875829;0.01927592;
0.86103899;0.95880675;0.04626688;0.97898293;
0.96520913;0.06790051;0.0309912;0.97110628;
0.02575887;0.9656591;0.90912798;0.0384115;
0.76139556;0.05130615;0.04626688;0.95403411;
0.99042339;0.98120609;0.83103926;0.99035319;
0.018538;0.99059485;0.99019995;0.01441387;
0.13896101;0.01379044;0.93869375;0.05802689;
0.93496698;0.0343409;0.03705243;0.9668303;
0.76060366;0.02066266;0.97344526;0.5;
0.05870295;0.93209949;0.01164368;0.20071913;
0.98478384;0.94869385;0.97674373;0.11038418;
0.01290335;0.0343409;0.03094005;0.9769652;
0.92713347;0.5;0.96294757;0.0328427;
0.23860444;0.04119325;0.02066283;0.11089009;
0.91709002;0.9656591;0.03094005;0.04642183;
0.03479087;0.95880675;0.97933717;0.04596589;
0.65756102;0.0229687;0.04626688;0.5;
0.65624069;0.98620956;0.00358274;0.88910991;
0.05870295;0.02294336;0.93869375;0.20071913;
0.05348525;0.01879391;0.02655474;0.07573579;
0.97179495;0.18391306;0.90955608;0.07573579;
0.01797898;0.09984404;0.97931432;0.07573579;
0.96883707;0.18391306;0.09087202;0.02103607;
