<X>;<CLOSE>
0.05;0.525
0.1;0.5499
0.15;0.5747
0.2;0.5993
0.25;0.6237
0.3;0.6478
0.35;0.6714
0.4;0.6947
0.45;0.7175
0.5;0.7397
0.55;0.7613
0.6;0.7823
0.65;0.8026
0.7;0.8221
0.75;0.8408
0.8;0.8587
0.85;0.8756
0.9;0.8917
0.95;0.9067
1;0.9207
1.05;0.9337
1.1;0.9456
1.15;0.9564
1.2;0.966
1.25;0.9745
1.3;0.9818
1.35;0.9879
1.4;0.9927
1.45;0.9964
1.5;0.9987
1.55;0.9999
1.6;0.9998
1.65;0.9984
1.7;0.9958
1.75;0.992
1.8;0.9869
1.85;0.9806
1.9;0.9732
1.95;0.9645
2;0.9546
2.05;0.9437
2.1;0.9316
2.15;0.9184
2.2;0.9042
2.25;0.889
2.3;0.8729
2.35;0.8557
2.4;0.8377
2.45;0.8189
2.5;0.7992
2.55;0.7788
2.6;0.7578
2.65;0.736
2.7;0.7137
2.75;0.6908
2.8;0.6675
2.85;0.6437
2.9;0.6196
2.95;0.5952
3;0.5706
3.05;0.5457
3.1;0.5208
3.15;0.4958
3.2;0.4708
3.25;0.4459
3.3;0.4211
3.35;0.3965
3.4;0.3722
3.45;0.3482
3.5;0.3246
3.55;0.3014
3.6;0.2787
3.65;0.2566
3.7;0.2351
3.75;0.2142
3.8;0.1941
3.85;0.1747
3.9;0.1561
3.95;0.1384
4;0.1216
4.05;0.1057
4.1;0.0909
4.15;0.077
4.2;0.0642
4.25;0.0525
4.3;0.0419
4.35;0.0325
4.4;0.0242
4.45;0.0171
4.5;0.0112
4.55;0.0066
4.6;0.0032
4.65;0.001
4.7;0
4.75;0.0004
4.8;0.0019
4.85;0.0047
4.9;0.0088
4.95;0.014
5;0.0205
5.05;0.0282
5.1;0.0371
5.15;0.0471
5.2;0.0583
5.25;0.0705
5.3;0.0839
5.35;0.0982
5.4;0.1136
5.45;0.13
5.5;0.1472
5.55;0.1654
5.6;0.1844
5.65;0.2041
5.7;0.2247
5.75;0.2459
5.8;0.2677
5.85;0.2901
5.9;0.3131
5.95;0.3365
6;0.3603
6.05;0.3845
6.1;0.4089
6.15;0.4336
6.2;0.4585
6.25;0.4834
6.3;0.5084
6.35;0.5334
6.4;0.5583
6.45;0.583
6.5;0.6076
6.55;0.6318
6.6;0.6558
6.65;0.6793
6.7;0.7024
6.75;0.725
6.8;0.7471
6.85;0.7685
6.9;0.7892
6.95;0.8092
7;0.8285
7.05;0.8469
7.1;0.8645
7.15;0.8811
7.2;0.8968
7.25;0.9115
7.3;0.9252
7.35;0.9378
7.4;0.9494
7.45;0.9598
7.5;0.969
7.55;0.9771
7.6;0.984
7.65;0.9896
7.7;0.9941
7.75;0.9973
7.8;0.9993
7.85;1
7.9;0.9995
7.95;0.9977
8;0.9947
8.05;0.9904
8.1;0.9849
8.15;0.9783
8.2;0.9704
8.25;0.9613
8.3;0.9511
8.35;0.9397
8.4;0.9273
8.45;0.9138
8.5;0.8992
8.55;0.8837
8.6;0.8672
8.65;0.8498
8.7;0.8315
8.75;0.8124
8.8;0.7925
8.85;0.7718
8.9;0.7505
8.95;0.7286
9;0.7061
9.05;0.683
9.1;0.6595
9.15;0.6357
9.2;0.6114
9.25;0.5869
9.3;0.5622
9.35;0.5374
9.4;0.5124
9.45;0.4874
9.5;0.4624
9.55;0.4376
9.6;0.4128
9.65;0.3883
9.7;0.3641
9.75;0.3402
9.8;0.3168
9.85;0.2937
9.9;0.2712
9.95;0.2493
10;0.228
10.05;0.2074
10.1;0.1875
10.15;0.1683
10.2;0.1501
10.25;0.1327
10.3;0.1162
10.35;0.1006
