<bid>;<ask>
0.5;0.570051
0.5;0.500010
0.5;0.499977
0.550000;0.5
0.5;0.500022
0.5;0.499985
0.449999;0.5
0.5;0.499999
0.5;0.499985
0.500062;0.5
0.370279;0.5
0.500000;0.499998
0.500000;0.5
0.500016;0.5
0.500012;0.5
0.500016;0.5
0.500012;0.5
0.500006;0.5
0.500000;0.5
0.500016;0.5
0.500000;0.5
0.500012;0.5
0.500018;0.5
0.500016;0.5
0.500000;0.5
0.500018;0.5
0.500000;0.5
0.500018;0.5
0.500000;0.5
0.500018;0.5
0.500000;0.5
0.500016;0.5
0.500000;0.5
0.500018;0.5
0.500000;0.5
0.500016;0.5
0.500000;0.5
0.500016;0.5
0.500000;0.5
0.500012;0.5
0.500006;0.5
0.500016;0.5
0.500018;0.5
0.500000;0.5
0.500000;0.5
0.500000;0.5
0.500016;0.5
0.5;0.499999
0.499993;0.170694
0.500024;0.829305
0.500010;0.5
0.500000;0.5
0.500000;0.5
0.5;0.499999
0.500000;0.499999
0.500018;0.449300
0.500000;0.5
0.500018;0.5
0.500000;0.5
0.500012;0.5
0.500000;0.5
0.500016;0.5
0.500000;0.5
0.500018;0.5
0.500000;0.5
0.500018;0.5
0.500016;0.5
0.500000;0.5
0.500018;0.5
0.500000;0.5
0.500000;0.5
0.500016;0.5
0.500018;0.5
0.500016;0.5
0.500000;0.5
0.500018;0.5
0.500000;0.5
0.500012;0.5
0.500004;0.5
0.500000;0.5
0.5;0.487022
0.500018;0.5
0.500000;0.5
0.500016;0.5
0.500018;0.5
0.500016;0.5
0.500012;0.5
0.500006;0.5
0.500010;0.5
0.500018;0.5
0.500000;0.5
0.500012;0.5
0.500000;0.5
0.500016;0.5
0.500012;0.5
0.500000;0.5
0.500016;0.5
0.500018;0.5
0.5;0.499999
0.500016;0.499999
0.500000;0.5
0.500000;0.5
0.500000;0.499999
0.500016;0.5
0.5;0.499983
0.5;0.499999
0.500000;0.5
0.499999;0.499999
0.498889;0.5
0.501110;0.482499
0.500016;0.5
0.500000;0.5
0.500000;0.5
0.500016;0.5
0.500000;0.5
0.500016;0.5
0.500000;0.5
0.499983;0.5
0.500016;0.5
0.499999;0.5
0.500000;0.5
0.500016;0.5
0.500000;0.5
0.500016;0.5
0.500000;0.5
0.500000;0.5
0.500000;0.5
0.500000;0.5
0.500016;0.5
0.500000;0.5
0.500000;0.5
0.500016;0.5
0.500000;0.5
0.500000;0.5
0.500000;0.5
0.500017;0.5
0.500000;0.517482
0.500000;0.477109
0.499983;0.5
0.500033;0.5
0.500000;0.5
0.500000;0.5
0.500000;0.5
0.499982;0.5
0.500033;0.5
0.500000;0.5
0.500000;0.5
0.500000;0.5
0.500017;0.5
0.500000;0.5
0.500000;0.5
0.500000;0.5
0.500017;0.5
0.500000;0.5
0.500000;0.5
0.500000;0.5
0.500017;0.5
0.500000;0.5
0.500000;0.5
0.500017;0.488302
0.500000;0.5
0.500000;0.5
0.500017;0.5
0.500000;0.5
0.500017;0.5
0.500000;0.5
0.500000;0.5
0.500000;0.5
0.500000;0.5
