<bid>;<ask>
0.501510;0.500120
0.5;0.500629
0.500699;0.500370
0.5;0.499639
0.498580;0.5
0.501849;0.500360
0.500910;0.500999
0.5;0.501000
0.500599;0.5
0.5;0.500819
0.5;0.499180
0.500119;0.5
0.499040;0.501299
0.500570;0.498820
0.499929;0.499220
0.499200;0.5
0.500299;0.5
0.5;0.500059
0.500700;0.5
0.4998;0.5
0.500500;0.500060
0.499299;0.502539
0.5;0.499600
0.500990;0.49924
0.498919;0.498550
0.501080;0.50141
0.498959;0.498550
0.501040;0.501419
0.499510;0.498570
0.499499;0.5
0.500990;0.501399
0.499510;0.49859
0.499549;0.5
0.50094;0.501380
0.500909;0.5
0.499499;0.500549
0.502000;0.50074
0.499319;0.5
0.501080;0.499900
0.500039;0.5
0.5;0.500099
0.499549;0.5
0.500310;0.5
0.499699;0.499990
0.499600;0.499980
0.500500;0.500029
0.500299;0.5
0.498400;0.499500
0.499809;0.5
0.500190;0.5
0.499809;0.499989
0.5;0.500410
0.500050;0.499629
0.5;0.498670
0.5;0.501329
0.50074;0.500280
0.500349;0.500839
0.5;0.49935
0.499740;0.5
0.500419;0.5
0.500390;0.500830
0.501300;0.500799
0.499299;0.5
0.499809;0.5
0.499990;0.499840
0.5;0.499739
0.5;0.499790
0.499099;0.498999
0.49953;0.5
0.5;0.500210
0.499949;0.500019
0.500320;0.5
0.500799;0.500459
0.499230;0.5
0.499269;0.498850
0.499600;0.5
0.499319;0.499299
0.5;0.499160
0.499720;0.5
0.500059;0.5
0.5;0.500489
0.50009;0.500029
0.500250;0.500230
0.499839;0.4998
0.500070;0.499960
0.5;0.499490
0.497450;0.500509
0.5;0.499659
0.499139;0.496490
0.499810;0.499859
0.499009;0.498480
0.500070;0.5
0.498669;0.500689
0.499600;0.5
0.501730;0.499310
0.5;0.500689
0.500109;0.5002
0.500920;0.500109
0.498040;0.50085
0.499599;0.5
0.501250;0.498150
0.498949;0.500749
0.501050;0.499250
0.499649;0.501240
0.499000;0.5
0.498899;0.5
0.5017;0.5
0.499099;0.5
0.5002;0.500259
0.5;0.499769
0.500300;0.500239
