<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
26/06/13;11424,0000000;11441,0000000;11391,0000000;11409,0000000;2858,9400000;2858,9400000;2857,4800000;2857,5100000;6,4341000;6,4471000;6,4341000;6,4467000;16,8515000;17,3595000;16,7425000;17,2749000;18,6230000;18,7870000;18,5280000;18,7570000;225,2300000;226,7800000;225,0900000;226,6700000;0,0133800;0,0135000;0,0131400;0,0134500;7,5568000;7,5568000;7,5526000;7,5526000;306,0800000;306,4300000;305,2700000;305,4400000;1,5285100;1,5291500;1,5096400;1,5128200;8,8232000;8,8584000;8,8232000;8,8464000;72,1980000;72,5360000;71,5340000;72,4580000;1,5409000;1,5469000;1,5403000;1,5437000;0,7395500;0,7412000;0,7387000;0,7396000;1,0626100;1,0635100;1,0609400;1,0609400;1,1292500;1,1423100;1,1286000;1,1410300;9,4666000;9,5178900;9,4262000;9,5012000;1,4551000;1,4609400;1,4414000;1,4499600;8,6408000;8,6613000;8,6306000;8,6370100;1,4193700;1,4239400;1,4122500;1,4140600;134,9500000;135,5580000;133,9700000;134,4030000
27/06/13;11407,0000000;11470,0000000;11404,0000000;11465,0000000;2857,5100000;2857,5100000;2857,5100000;2857,5100000;6,4467000;6,4467000;6,4418000;6,4437000;17,2759000;18,0354000;17,2663000;18,0251000;18,7590000;18,7610000;18,7490000;18,7560000;226,6800000;227,5500000;226,2700000;226,8700000;0,0134900;0,0135500;0,0131900;0,0135400;7,5500000;7,5528000;7,5500000;7,5516000;305,6000000;306,2000000;305,5500000;305,8700000;1,5128200;1,5189900;1,5070000;1,5132600;8,8504000;8,8656000;8,7811000;8,8025000;71,9080000;72,6820000;71,9080000;72,6760000;1,5457000;1,5496000;1,5349000;1,5391000;0,7398000;0,7430000;0,7377000;0,7384300;1,0616000;1,0646000;1,0547000;1,0572900;1,1410300;1,1443100;1,1377000;1,1398200;9,5002500;9,5150000;9,4864000;9,5150000;1,4499600;1,4593300;1,4452000;1,4563800;8,6404100;8,6557800;8,5762000;8,5905800;1,4141300;1,4175000;1,4088000;1,4127500;134,4010000;136,2340000;133,9200000;136,1630000
28/06/13;11466,0000000;11500,0000000;11422,0000000;11441,0000000;2877,7800000;2906,5300000;2877,3600000;2901,7300000;6,4437000;6,4884000;6,4437000;6,4879000;16,8515000;17,3595000;16,7425000;17,2749000;18,7680000;18,7700000;18,7680000;18,7700000;226,8700000;227,3800000;226,6200000;227,0100000;0,0135300;0,0136100;0,0131800;0,0134100;7,5516000;7,6161000;7,5394000;7,6073000;306,0600000;307,2100000;305,6100000;306,6300000;1,5131400;1,5160400;1,5044000;1,5082600;8,8035000;8,8819000;8,7841000;8,8590000;72,6570000;73,0109000;70,2030000;71,5790000;1,5391000;1,5505000;1,5350000;1,5480000;0,7384800;0,7444100;0,7373000;0,7434300;1,0573100;1,0694000;1,0554100;1,0689400;1,1398500;1,1401500;1,1373500;1,1377500;9,4937000;9,5288000;9,4922000;9,4939000;1,4566000;1,4680300;1,4528000;1,4653600;8,5908700;8,6034400;8,5515000;8,5752800;1,4127700;1,4178600;1,4094000;1,4155300;136,1640000;136,1840000;135,0500000;135,2300000
29/06/13;11441,0000000;11443,0000000;11435,0000000;11443,0000000;2901,1400000;2901,2100000;2896,9400000;2896,9700000;6,4879000;6,4879000;6,4879000;6,4879000;17,2759000;18,0354000;17,2663000;18,0251000;18,7700000;18,8280000;18,7010000;18,7080000;227,0300000;227,4100000;224,0600000;224,2300000;0,0134100;0,0138700;0,0132400;0,0137900;7,5964000;7,6913000;7,5938000;7,6514000;306,7600000;308,1500000;306,2200000;307,4200000;1,5082200;1,5208700;1,5070400;1,5110500;8,8595000;8,8607000;8,7915000;8,8442000;71,5880000;72,4380000;70,5270000;71,7488000;1,5478000;1,5514000;1,5399000;1,5456000;0,7434400;0,7437000;0,7345000;0,7380200;1,0690100;1,0740300;1,0626900;1,0737500;1,1381700;1,1423000;1,1379000;1,1404500;9,4946000;9,5280300;9,4494000;9,4662000;1,4652800;1,4805800;1,4624000;1,4739000;8,5748500;8,5844000;8,5311000;8,5644200;1,4155000;1,4289900;1,4146200;1,4196200;135,2220000;135,9440000;134,9410000;135,1470000
01/07/13;11438,0000000;11483,0000000;11432,0000000;11481,0000000;2896,9700000;2896,9700000;2896,9700000;2896,9700000;6,4698000;6,4708000;6,4696000;6,4708000;18,0259000;18,0386000;18,0251000;18,0251000;18,7100000;18,9310000;18,6980000;18,9220000;224,2500000;224,3400000;224,2400000;224,3400000;0,0138000;0,0138300;0,0137300;0,0137500;7,6521000;7,6858000;7,6329000;7,6845000;307,5200000;308,7700000;305,1500000;305,6900000;1,5110500;1,5152700;1,4935000;1,5113900;8,8433000;8,8818000;8,8089000;8,8122000;71,6840000;73,0961000;69,0170000;69,4940000;1,5457000;1,5542000;1,5412000;1,5429000;0,7380000;0,7410000;0,7356000;0,7370200;1,0736700;1,0802000;1,0727700;1,0789700;1,1404900;1,1430000;1,1318000;1,1346100;9,4658000;9,4803000;9,3947000;9,4081100;1,4739300;1,4782700;1,4655500;1,4675000;8,5666100;8,6530400;8,5598000;8,6265000;1,4195800;1,4314400;1,4048000;1,4272400;135,1470000;135,9050000;133,5130000;135,4630000
02/07/13;11482,0000000;11487,0000000;11425,0000000;11432,0000000;2905,6100000;2906,9200000;2905,6100000;2906,9200000;6,4708000;6,4708000;6,4708000;6,4708000;18,0749000;18,4895000;18,0590000;18,3939000;18,9220000;18,9690000;18,8870000;18,9090000;224,6200000;225,2000000;224,4800000;225,0900000;0,0137100;0,0137100;0,0137100;0,0137100;7,6857000;7,7155000;7,6544000;7,6596000;305,6900000;306,4800000;304,0400000;305,4000000;1,5113800;1,5160500;1,5078000;1,5088000;8,8126000;8,8657000;8,7478000;8,8282000;69,5040000;71,2950000;69,4440000;70,2590000;1,5428000;1,5525000;1,5330000;1,5473000;0,7370900;0,7429200;0,7337000;0,7392900;1,0789900;1,0812100;1,0665100;1,0702500;1,1346100;1,1449000;1,1321000;1,1417300;9,4073100;9,5154300;9,4020300;9,4891000;1,4675300;1,4695800;1,4608800;1,4620400;8,6264100;8,6385400;8,5461000;8,5603200;1,4270200;1,4279000;1,4170000;1,4175000;135,4600000;135,5530000;135,2980000;135,4900000
03/07/13;11431,0000000;11473,0000000;11417,0000000;11464,0000000;2906,9200000;2906,9200000;2899,8800000;2899,8800000;6,4684000;6,4684000;6,4665000;6,4681000;18,3935000;19,7100000;18,3909000;19,6804000;18,9080000;18,9660000;18,8870000;18,9350000;225,1700000;225,7700000;224,4500000;225,5900000;0,0137100;0,0140500;0,0136700;0,0139200;7,6677000;7,7221000;7,6675000;7,7058000;305,3400000;306,5400000;303,9000000;305,0700000;1,5073400;1,5154000;1,5070600;1,5142000;8,8276000;8,8331000;8,8198000;8,8288000;70,3670000;70,8180000;69,1817000;70,0590000;1,5470000;1,5483000;1,5447000;1,5460000;0,7393200;0,7397000;0,7379400;0,7385000;1,0702000;1,0705700;1,0660000;1,0668700;1,1417400;1,1419400;1,1332000;1,1399500;9,4885000;9,6890000;9,4538000;9,6051500;1,4649900;1,4699600;1,4648000;1,4660100;8,5603200;8,5708200;8,5434400;8,5692800;1,4268600;1,4291000;1,4249700;1,4278700;135,3900000;135,9640000;135,3900000;135,7800000
04/07/13;11465,0000000;11473,0000000;11448,0000000;11451,0000000;2907,7800000;2907,9500000;2907,2400000;2907,9100000;6,4681000;6,4681000;6,4362000;6,4362000;19,6809000;19,6840000;19,5662000;19,5896000;18,9360000;18,9680000;18,6610000;18,6750000;225,6100000;226,5700000;225,4500000;226,2100000;0,0139200;0,0141000;0,0137500;0,0138800;7,7045000;7,7089000;7,6999000;7,7089000;304,8200000;307,1300000;304,4900000;304,5600000;1,5145000;1,5153000;1,5010000;1,5052400;8,8345000;8,8520000;8,8300000;8,8440000;70,3860000;70,9640000;69,9290000;70,5050000;1,5458000;1,5508000;1,5450000;1,5481000;0,7390000;0,7407000;0,7390000;0,7400400;1,0711600;1,0723100;1,0709800;1,0719000;1,1397900;1,1450100;1,1354800;1,1359500;9,6051500;9,6438000;9,5602000;9,5845600;1,4667600;1,4687300;1,4577200;1,4595200;8,5578000;8,5668700;8,5578000;8,5633900;1,4280300;1,4300700;1,4217000;1,4249600;135,7900000;135,7900000;134,3900000;134,6570000
05/07/13;11303,0000000;11350,0000000;11303,0000000;11341,0000000;2905,4400000;2917,1000000;2904,0400000;2915,5000000;6,4362000;6,4547000;6,4362000;6,4547000;19,5904000;19,6325000;19,3803000;19,4141000;18,6770000;18,6840000;18,6760000;18,6840000;226,2500000;226,2500000;225,5000000;225,5200000;0,0139000;0,0143400;0,0136800;0,0142000;7,7188000;7,7220000;7,6830000;7,6985000;304,7400000;305,3900000;304,3800000;304,9300000;1,5052400;1,5231700;1,5030000;1,5149100;8,8454000;8,8466000;8,7580000;8,7883000;70,4950000;70,6800000;70,4950000;70,6200000;1,5498000;1,5499000;1,5370000;1,5393000;0,7402000;0,7405300;0,7323000;0,7329600;1,0718500;1,0792100;1,0683000;1,0772100;1,1359500;1,1429700;1,1277900;1,1376900;9,5847200;9,6067500;9,5791000;9,5881000;1,4596100;1,4638500;1,4530200;1,4598600;8,5637300;8,6460300;8,5483800;8,6406400;1,4249800;1,4331000;1,4145100;1,4172100;134,6640000;135,6340000;134,4740000;134,8490000
06/07/13;11344,0000000;11344,0000000;11340,0000000;11340,0000000;2915,5000000;2920,4300000;2914,4000000;2916,9400000;6,4547000;6,4547000;6,4547000;6,4547000;19,4146000;19,4627000;19,2488000;19,4317000;18,7080000;18,7340000;18,6740000;18,7250000;225,1700000;226,5400000;225,1300000;225,8100000;0,0142600;0,0142600;0,0139900;0,0141600;7,6967000;7,7706000;7,6963000;7,7431000;305,1100000;306,1700000;304,3700000;305,6700000;1,5148500;1,5172200;1,5000000;1,5066200;8,7893000;8,8094000;8,7535000;8,7975000;70,5957000;73,1410000;68,2165000;72,0440000;1,5391000;1,5432000;1,5350000;1,5394000;0,7330000;0,7350000;0,7314000;0,7337600;1,0772000;1,0787200;1,0720000;1,0781200;1,1376300;1,1384400;1,1369100;1,1379300;9,5863000;9,6095100;9,5766000;9,5769000;1,4598800;1,4614400;1,4543000;1,4573100;8,6409500;8,6538000;8,5900000;8,6032100;1,4171800;1,4174700;1,4063000;1,4119900;134,8540000;135,2260000;134,5400000;135,0870000
