IME>;<bid_top>;<bid_quantity>;<bid_amount>;<ask_top>;<ask_quantity>;<ask_amount>
13,09,2019 2:48:35;10540,62;11812,95060762;1888336,09040267;10573,15;261,76015505;3726490,30919511
13,09,2019 2:49:36;10529,68;11813,04011378;1889275,90320087;10544,0994559;261,57784387;3724561,6701185
13,09,2019 2:50:36;10528,74;11805,67777612;1812562,82525913;10544,0994559;261,7670725;3726561,66975165
13,09,2019 2:51:37;10529,25;11804,43497718;1799497,22480375;10544,0994559;261,41197992;3722805,56325661
13,09,2019 2:52:37;10532,06;11805,08412415;1806443,93785197;10544,0994559;261,43309666;3722960,83121947
13,09,2019 2:53:37;10531,74;11805,5476938;1811368,48587556;10544,0994559;261,77437167;3726565,95417163
13,09,2019 2:54:38;10546,52;11805,58358683;1811751,00128873;10568,75;261,62300784;3724967,96728648
13,09,2019 2:55:38;10546,44;11812,51911992;1884145,9471007;10555,6844443;261,77783316;3726597,93095346
13,09,2019 2:56:38;10546,1;11812,38813629;1882777,38009796;10555,6844443;261,87163316;3727605,68494502
13,09,2019 2:57:39;10550,23;11812,90539327;1888337,38133528;10571,26999999;253,2191185;3635646,912533
13,09,2019 2:58:39;10544,76;11811,40735562;1872600,66310125;10559,81;262,47920095;3734338,16222306
13,09,2019 2:59:39;10551,71000001;11812,24284724;1881312,56116189;10560,71;262,30480353;3732494,90115301
13,09,2019 3:00:39;10556,88100001;11812,31907413;1882469,74630632;10566,01;262,25465324;3732436,81119433
13,09,2019 3:01:40;10562,51;11812,26676577;1881868,61532336;10569,96;262,26575237;3732390,35742945
13,09,2019 3:02:40;10563,97000001;11804,74626916;1803269,75801053;10571,19;262,26125237;3732341,6139281
13,09,2019 3:03:40;10561,56000001;11812,47091962;1884073,62795619;10569,29;262,24265237;3732141,57816259
13,09,2019 3:04:41;10559,56;11804,92139155;1805119,5923955;10568,76;262,4372233;3734203,4818923
13,09,2019 3:05:41;10557,92000001;11804,93987899;1805315,4655092;10571,49;262,0069212;3729649,4396217
13,09,2019 3:06:41;10569,59;11799,29430119;1761101,77809051;10573,7;262,29679381;3732736,05365227
13,09,2019 3:07:42;10565,41;11804,74100045;1804956,85265986;10571,61;262,46937875;3734563,90082016
13,09,2019 3:08:42;10574,52;11804,78131099;1805397,12575785;10575,95;262,29890668;3732760,17290625
