<presentDate>;<deposit1>;<deposit2>;<action>;<reward>;<closeValue>;<CNN_1[0]>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
01.09.2015 0:00:00;1;425,1875;buy;0;74,8125;1;0;0.360999;0;1;1
02.09.2015 0:00:00;2;350,0337;buy;1,4210854715202E-14;75,1538;0;1;1;1;0.841300;0
03.09.2015 0:00:00;3;276,1259;buy;-1,4210854715202E-14;73,9078;0;0.689000;0.536000;0;0;0
04.09.2015 0:00:00;4;199,8062;buy;-1,4210854715202E-14;76,3197;1;0;0.184100;1;1;0
05.09.2015 0:00:00;3;276,1087;sell;1,4210854715202E-14;76,3025;0;1;0.545299;1;0.482799;0
06.09.2015 0:00:00;2;352,5091;sell;-1,4210854715202E-14;76,4004;1;0.364199;0.526700;0;0.597900;1
07.09.2015 0:00:00;2;352,5091;nothing;0;77,16;1;0;1;0.686000;1;1
08.09.2015 0:00:00;3;276,4041;buy;-1,4210854715202E-14;76,105;1;1;0.239000;0.829999;0;1
09.09.2015 0:00:00;3;276,4041;nothing;0;76,657;1;0;0;0.000599;1;0
10.09.2015 0:00:00;3;276,4041;nothing;0;76,2116;1;1;1;1;0.054600;0
11.09.2015 0:00:00;3;276,4041;nothing;0;76,963;1;0.091999;0.382000;0.486999;1;1
12.09.2015 0:00:00;3;276,4041;nothing;0;76,885;1;1;0.330999;1;0.422000;0
13.09.2015 0:00:00;3;276,4041;nothing;0;76,797;1;0.227000;0.337000;0.337999;0.411999;1
14.09.2015 0:00:00;4;199,8991;buy;0;76,505;0;0.585000;0.960999;0;0.207999;1
15.09.2015 0:00:00;3;274,9751;sell;2,8421709430404E-14;75,076;1;0.449999;0.936000;0;0;1
16.09.2015 0:00:00;2;348,9601;sell;1,4210854715202E-14;73,985;1;0;0;0;0;1
17.09.2015 0:00:00;1;423,8631;sell;1,4210854715202E-14;74,903;0;0;0.004000;0.625;1;0
18.09.2015 0:00:00;0;498,9311;sell;-1,4210854715202E-14;75,068;1;1;1;1;0.664999;1
19.09.2015 0:00:00;1;423,8101;buy;1,4210854715202E-14;75,121;1;1;0.799000;1;0.552999;0
20.09.2015 0:00:00;1;423,8101;nothing;0;74,997;0;0;0;0;0.376000;1
21.09.2015 0:00:00;1;423,8101;nothing;0;73,887;1;0.619999;1;0;0;1
22.09.2015 0:00:00;1;423,8101;nothing;0;73,477;1;0;0;0.097999;0.090000;0
23.09.2015 0:00:00;0;497,7961;sell;-1,4210854715202E-14;73,986;0;0.057000;0.764000;0.130000;1;1
24.09.2015 0:00:00;1;423,6331;buy;-1,4210854715202E-14;74,163;1;1;0.463999;1;0.676999;0
25.09.2015 0:00:00;1;423,6331;nothing;0;73,309;1;0.203999;0;0;0;1
26.09.2015 0:00:00;1;423,6331;nothing;0;73,287;0;0;0;1;0.478000;0
27.09.2015 0:00:00;1;423,6331;nothing;0;73,261;1;0.605999;0.616;0;0.473999;0.5
28.09.2015 0:00:00;1;423,6331;nothing;0;74,2721;1;0.376000;1;0.416999;1;1
29.09.2015 0:00:00;1;423,6331;nothing;0;74,084;0;1;1;1;0.311900;1
30.09.2015 0:00:00;1;423,6331;nothing;0;72,961;1;0.599999;0.147999;0;0;0
01.10.2015 0:00:00;1;423,6331;nothing;0;74,5522;1;0;0.3232;0;1;1
02.10.2015 0:00:00;1;423,6331;nothing;0;74,0189;0;1;1;1;0;1
03.10.2015 0:00:00;1;423,6331;nothing;0;74,0688;1;1;0;1;0.549899;0
04.10.2015 0:00:00;1;423,6331;nothing;0;74,069;1;0.310000;0.195499;0.546000;0.500200;0
05.10.2015 0:00:00;2;351,6407;buy;2,8421709430404E-14;71,9924;0;0.587999;0.772999;0;0;1
06.10.2015 0:00:00;2;351,6407;nothing;0;71,071;1;0;0;0;0;0
07.10.2015 0:00:00;2;351,6407;nothing;0;70,174;1;0;0;0;0;0
08.10.2015 0:00:00;3;282,5066;buy;1,4210854715202E-14;69,1341;0;0;0;0.165599;0;0
09.10.2015 0:00:00;3;282,5066;nothing;0;69,3443;1;0;0;0.311400;0.7102;1
10.10.2015 0:00:00;3;282,5066;nothing;0;70,021;1;0.713000;0.274000;1;1;0
11.10.2015 0:00:00;4;213,3867;buy;0;69,1199;0;0.468099;1;0.315199;0;1
12.10.2015 0:00:00;4;213,3867;nothing;0;70,3248;1;0.218800;0;0.448500;1;1
13.10.2015 0:00:00;4;213,3867;nothing;0;71,5981;1;1;1;1;1;1
14.10.2015 0:00:00;3;285,2727;sell;0;71,886;0;1;0.397199;0.233599;0.787899;1
