<DATE_TIME><bid_top>;<bid_quantity>;<bid_amount>;<ask_top>;<ask_quantity>;<ask_amount>;<action>;<BTC_balance>;<USD_balance>;
12.04.2020 22:40:06;12.04.2020 22:40:06;7366.02000132;12209.05686048;2063045.78550938;7375.93299642;390.29182937;4308888.98308571;;0;100
12.04.2020 22:40:06;12.04.2020 22:40:06;7366.02000132;12208.63486048;2059952.73650938;7375.93299642;390.29182937;4308888.98308571;;0;100
12.04.2020 22:40:07;12.04.2020 22:40:07;7366.02000335;12208.84586048;2061502.55813453;7375.93299642;390.28861341;4308865.18498171;;0;100
12.04.2020 22:40:08;12.04.2020 22:40:08;7366.02000637;12208.84586048;2061502.55813708;7375.93299642;390.28861341;4308865.18498171;;0;100
12.04.2020 22:40:09;12.04.2020 22:40:09;7366.02000839;12209.05686048;2063046.86713892;7375.93299642;390.28861341;4308865.18498171;;0;100
12.04.2020 22:40:09;12.04.2020 22:40:09;7366.02001142;12209.06405762;2063098.59180288;7375.93299642;390.28861341;4308865.18498171;;0;100
12.04.2020 22:40:10;12.04.2020 22:40:10;7366.02001344;12207.86821762;2054393.57107101;7375.93299642;390.28861341;4308865.18498171;;0;100
12.04.2020 22:40:11;12.04.2020 22:40:11;7366.02000032;12207.86821762;2054393.57105927;7375.93299642;390.28861341;4308865.18498171;;0;100
12.04.2020 22:40:12;12.04.2020 22:40:12;7366.02000334;12207.86821762;2054393.57106181;7375.93299642;390.28861341;4308865.18498171;;0;100
12.04.2020 22:40:12;12.04.2020 22:40:12;7366.02000536;12207.86821762;2054393.57106365;7375.93299642;390.28861341;4308865.18498171;;0;100
12.04.2020 22:40:13;12.04.2020 22:40:13;7366.02000739;12207.16872844;2049241.11977088;7375.93299642;390.87425637;4313191.91517017;;0;100
12.04.2020 22:40:14;12.04.2020 22:40:14;7366.02001142;12207.86821762;2054393.57106917;7375.93299642;390.87425637;4313191.91517017;;0;100
12.04.2020 22:40:15;12.04.2020 22:40:15;7366.02001345;12207.86821762;2054393.57107122;7375.93299642;390.87425637;4313191.91517017;;0;100
12.04.2020 22:40:16;12.04.2020 22:40:16;7366.02001647;12209.06247762;2063098.58650104;7375.93299642;390.87425637;4313191.91517017;;0;100
12.04.2020 22:40:16;12.04.2020 22:40:16;7366.02001849;12209.06247762;2063098.58650288;7375.93299642;390.87425637;4313191.91517017;;0;100
12.04.2020 22:40:17;12.04.2020 22:40:17;7366.02002052;12209.06247762;2063098.58650493;7375.93299642;390.28861341;4308865.18498171;;0;100
12.04.2020 22:40:18;12.04.2020 22:40:18;7366.02002353;12209.06247762;2063098.58650747;7375.93299642;390.28861341;4308865.18498171;;0;100
12.04.2020 22:40:19;12.04.2020 22:40:19;7366.02002555;12209.06247762;2063098.58650931;7375.93299642;390.68630328;4311803.31774126;;0;100
12.04.2020 22:40:20;12.04.2020 22:40:20;7366.02002758;12209.06247762;2063098.58651135;7375.93299642;390.28861341;4308865.18498171;;0;100
12.04.2020 22:40:21;12.04.2020 22:40:21;7366.02003161;12207.95834475;2054997.31870586;7375.93299642;390.87425637;4313191.91517016;;0;100
12.04.2020 22:40:21;12.04.2020 22:40:21;7366.02003464;12208.93639636;2062178.80171747;7375.93299642;390.87425637;4313191.91517016;;0;100
12.04.2020 22:40:22;12.04.2020 22:40:22;7366.02003666;12208.93639636;2062178.80376978;7375.93299642;390.87425637;4313191.91517016;;0;100
12.04.2020 22:40:23;12.04.2020 22:40:23;7366.02003869;12208.93639636;2062178.80377183;7375.93299642;390.87425637;4313191.91517016;;0;100
12.04.2020 22:40:24;12.04.2020 22:40:24;7366.02004171;12208.92919922;2062127.07911317;7375.93299642;390.87425637;4313191.91517016;;0;100
12.04.2020 22:40:25;12.04.2020 22:40:25;7366.02004374;12208.92919922;2062127.07911523;7375.93299642;390.87425637;4313191.91517016;;0;100
12.04.2020 22:40:25;12.04.2020 22:40:25;7366.02004675;12208.92919922;2062127.74258076;7375.93299642;390.87425637;4313191.91517014;;0;100
12.04.2020 22:40:26;12.04.2020 22:40:26;7366.02004877;12208.92919922;2062127.74258259;7375.93299642;390.87425637;4313191.91517014;;0;100
12.04.2020 22:40:27;12.04.2020 22:40:27;7366.0200518;12208.92919922;2062127.74258535;7375.93299642;390.87425637;4313191.91517014;;0;100
12.04.2020 22:40:28;12.04.2020 22:40:28;7366.02005382;12208.92919922;2062127.7425872;7375.93299642;390.87425637;4313191.91517013;;0;100
12.04.2020 22:40:28;12.04.2020 22:40:28;7366.02005585;12208.92919922;2062127.74258925;7375.93299642;390.87425637;4313191.91517012;;0;100
12.04.2020 22:40:29;12.04.2020 22:40:29;7366.02005887;12208.92919922;2062127.7425918;7375.93299642;390.87425637;4313191.91517012;;0;100
12.04.2020 22:40:30;12.04.2020 22:40:30;7366.02006089;12207.73493922;2053422.06370337;7375.93299642;390.87425637;4313191.91517012;;0;100
12.04.2020 22:40:31;12.04.2020 22:40:31;7366.02006292;12207.73813922;2053445.53221535;7375.93299642;390.87425637;4313191.91517012;;0;100
12.04.2020 22:40:31;12.04.2020 22:40:31;7366.02006594;12207.73813922;2053445.5322179;7375.93299642;390.87425637;4313191.91517012;;0;100
12.04.2020 22:40:32;12.04.2020 22:40:32;7366.02006797;12207.74533343;2053497.25689503;7375.93299642;390.28861341;4308865.1849817;;0;100
12.04.2020 22:40:33;12.04.2020 22:40:33;7366.02007097;12208.44482261;2058649.70817342;7375.93299642;390.28861341;4308865.1849817;;0;100
12.04.2020 22:40:34;12.04.2020 22:40:34;7366.02000332;12207.74533343;2053497.25683595;7375.97699732;390.26270615;4308674.09721032;;0;100
12.04.2020 22:40:34;12.04.2020 22:40:34;7366.02000333;12208.93950343;2062202.28002234;7375.97699732;390.15270615;4307859.10492734;;0;100
12.04.2020 22:40:35;12.04.2020 22:40:35;7366.02000635;12208.93950343;2062202.28002488;7375.97699732;390.20770615;4308265.99757033;;0;100
12.04.2020 22:40:36;12.04.2020 22:40:36;7366.02000837;12208.93950343;2062202.28002672;7375.97699732;390.26270615;4308674.09757032;;0;100
12.04.2020 22:40:37;12.04.2020 22:40:37;7366.0200104;12208.93950343;2062202.28002878;7375.97699732;390.26270615;4308674.09757032;;0;100
12.04.2020 22:40:38;12.04.2020 22:40:38;7366.02001342;12208.93950343;2062202.28003133;7375.97699732;390.26270615;4308674.09757032;;0;100
12.04.2020 22:40:38;12.04.2020 22:40:38;7366.02001443;12208.51750343;2059108.14940914;7375.97699732;390.26592211;4308697.8892424;;0;100
12.04.2020 22:40:39;12.04.2020 22:40:39;7366.02001645;12208.72850343;2060657.97103408;7375.97699732;390.85156507;4313024.61943082;;0;100
12.04.2020 22:40:40;12.04.2020 22:40:40;7366.02001847;12208.91359617;2062011.44664014;7375.97699631;390.87747233;4313215.71078455;;0;100
12.04.2020 22:40:40;12.04.2020 22:40:40;7366.0200205;12207.71942617;2053306.42381598;7375.97699428;390.27715126;4308779.30099491;;0;100
12.04.2020 22:40:41;12.04.2020 22:40:41;7366.02002352;12207.67981374;2053015.46552197;7375.97699126;389.77088485;4305039.0047577;;0;100
12.04.2020 22:40:42;12.04.2020 22:40:42;7366.02002554;12207.7193938;2053306.08442307;7375.97698924;390.35652781;4309365.73494593;;0;100
12.04.2020 22:40:43;12.04.2020 22:40:43;7366.02002756;12207.7189938;2053303.14637459;7375.97698721;390.3857278;4309581.46447183;;0;100
12.04.2020 22:40:43;12.04.2020 22:40:43;7366.02003058;12207.7193938;2053306.08442753;7375.97698419;390.29201937;4308892.61994882;;0;100
12.04.2020 22:40:44;12.04.2020 22:40:44;7366.02003261;12207.7193938;2053306.08442953;7375.97698216;390.29201937;4308892.6199486;;0;100
12.04.2020 22:40:45;12.04.2020 22:40:45;7366.02003463;12208.91333477;2062009.79835629;7375.97697914;390.87766233;4313219.35013681;;0;100
12.04.2020 22:40:46;12.04.2020 22:40:46;7366.02003865;12208.91321669;2062009.05778305;7375.97697612;390.29201937;4308892.61994822;;0;100
12.04.2020 22:40:47;12.04.2020 22:40:47;7366.02003967;12209.12421669;2063559.23310615;7375.97697409;390.74451924;4312235.02772107;;0;100
12.04.2020 22:40:47;12.04.2020 22:40:47;7366.01999931;12208.90602248;2061953.27820271;7375.97697207;390.29201937;4308892.61994778;;0;100
12.04.2020 22:40:48;12.04.2020 22:40:48;7366.01999931;12208.90636963;2061955.32675895;7375.97696905;390.68951924;4311829.34898708;;0;100
12.04.2020 22:40:49;12.04.2020 22:40:49;7366.02000133;12209.11736963;2063513.61185168;7375.97696702;390.93266233;4313625.02886897;;0;100
12.04.2020 22:40:49;12.04.2020 22:40:49;7366.02000335;12208.90636963;2061955.3267598;7375.976964;390.87766233;4313219.35013554;;0;100
12.04.2020 22:40:50;12.04.2020 22:40:50;7366.01999931;12207.71219963;2053250.30393278;7375.97696198;390.87766233;4313219.35013537;;0;100
12.04.2020 22:40:51;12.04.2020 22:40:51;7366.01999931;12207.71219963;2053250.30393278;7375.97695996;390.87766233;4313219.35013521;;0;100
12.04.2020 22:40:52;12.04.2020 22:40:52;7366.02000032;12207.71219963;2053254.35880455;7375.97695793;390.87766233;4313219.35013499;;0;100
12.04.2020 22:40:52;12.04.2020 22:40:52;7366.02000233;12207.71219963;2053254.35880613;7375.97695592;390.87766233;4313219.35013488;;0;100
12.04.2020 22:40:53;12.04.2020 22:40:53;7366.02000436;12207.71219963;2053254.35880812;7375.97695389;390.87766233;4313219.35013466;;0;100
12.04.2020 22:40:54;12.04.2020 22:40:54;7366.02000738;12207.71219963;2053254.35881059;7375.97695087;390.87766233;4313219.35013447;;0;100
12.04.2020 22:40:55;12.04.2020 22:40:55;7366.0200084;12208.90636963;2061955.32676087;7375.97694885;390.87766233;4313219.35013431;;0;100
