window_size;number_of_epochs;learning_rate
2;1;0.0001;0,845166558443826
2;1;0.0051;0,850486011249587
2;1;0.0101;0,848227482243552
2;1;0.0151;0,820938917572552
2;1;0.0201;0,851890819144853
2;1;0.0251;0,852993360554619
2;1;0.0301;0,843702224022818
2;1;0.0351;0,840845033868812
2;1;0.0451;0,801950742580567
2;1;0.0501;0,847399136671614
2;1;0.0551;0,85024665707384
2;1;0.0601;0,848125757311989
2;1;0.0651;0,833041581870599
2;1;0.0701;0,849475093001583
2;1;0.0751;0,849289741384738
2;1;0.0801;0,714344791227415
2;1;0.0901;0,723987921181262
2;1;0.0951;0,725128497122651
2;1;0.1001;0,745743199581094
2;1;0.1051;0,72296248526982
2;1;0.1101;0,722609267827186
2;1;0.1151;0,71910727747338
2;6;0.0001;0,745760456970206
2;6;0.0051;0,849676584720906
2;6;0.0151;0,849001361925467
2;6;0.0201;0,850406011814809
2;6;0.0251;0,836578295313952
2;6;0.0301;0,84739693491959
2;6;0.0351;0,852684938776851
2;6;0.0401;0,849889133165936
2;6;0.0451;0,854723151870123
2;6;0.0501;0,845726901631721
2;6;0.0601;0,849420500173924
2;6;0.0651;0,850859050637415
2;6;0.0701;0,836791587580388
2;6;0.0751;0,852291462917661
2;6;0.0801;0,843612878202508
2;6;0.0851;0,847565459971902
2;6;0.0901;0,850257708546928
2;6;0.0951;0,85257495345478
2;6;0.1051;0,850462277273818
2;6;0.1101;0,852573177020562
2;6;0.1151;0,850939441775139
2;11;0.0001;0,514299202040748
2;11;0.0051;0,852168979152506
2;11;0.0101;0,849563887532307
2;11;0.0151;0,850802913770813
2;11;0.0201;0,846841758901045
2;11;0.0301;0,849940886558482
2;11;0.0351;0,851477476709472
2;11;0.0401;0,84464398767259
2;11;0.0451;0,847894936200373
2;11;0.0501;0,84615023260941
2;11;0.0551;0,847341160807005
2;11;0.0601;0,852526682822485
2;11;0.0651;0,851335568500493
2;11;0.0751;0,846805491585138
2;11;0.0801;0,848644343498377
2;11;0.0851;0,714345625390319
2;11;0.0901;0,851509237911583
2;11;0.0951;0,827730559670124
2;11;0.1001;0,714342973217799
2;11;0.1051;0,711757613587164
2;11;0.1101;0,849220787854356
2;16;0.0001;0,850372722831079
2;16;0.0051;0,850729572324627
2;16;0.0101;0,849652101177062
2;16;0.0151;0,853521373036792
2;16;0.0201;0,850897414656466
2;16;0.0251;0,845545437913261
2;16;0.0301;0,852894517429676
2;16;0.0351;0,850124921804682
2;16;0.0451;0,83948992750439
2;16;0.0501;0,851770660108919
2;16;0.0551;0,824683255000792
2;16;0.0601;0,835572201959694
2;16;0.0651;0,851845292291281
2;16;0.0701;0,84418235536223
2;16;0.0751;0,849860723805289
2;16;0.0801;0,852189518827323
2;16;0.0901;0,838749598737019
2;16;0.0951;0,852232068207983
2;16;0.1001;0,850156395080994
2;16;0.1051;0,771027783212749
2;16;0.1101;0,783186507671224
2;16;0.1151;0,839070216199239
2;21;0.0001;0,84956947928229
2;21;0.0051;0,853338469554728
2;21;0.0151;0,851896731333249
2;21;0.0201;0,848666869755716
2;21;0.0251;0,847973850763827
2;21;0.0301;0,847892654278091
2;21;0.0351;0,846037088354853
2;21;0.0401;0,851300272029648
2;21;0.0451;0,847091111043093
2;21;0.0501;0,838104355187684
2;21;0.0601;0,850847861866903
2;21;0.0651;0,844289320518501
2;21;0.0701;0,848418174104699
2;21;0.0751;0,850938322540728
2;21;0.0801;0,852564318267118
2;21;0.0851;0,852390914519756
2;21;0.0901;0,851455937363991
2;21;0.0951;0,851967653643321
2;21;0.1051;0,847172199381234
2;21;0.1101;0,85247956628824
2;21;0.1151;0,846476653700579
2;26;0.0001;0,847580068763849
2;26;0.0051;0,852748910778734
2;26;0.0101;0,852281315310728
2;26;0.0151;0,848541862559438
2;26;0.0201;0,85155498224499
2;26;0.0301;0,844393795097446
2;26;0.0351;0,849261772608959
2;26;0.0401;0,846247219193591
2;26;0.0451;0,849633072624582
2;26;0.0501;0,849475883529695
2;26;0.0551;0,84740831250771
2;26;0.0601;0,841353723366841
2;26;0.0651;0,849564749543855
2;26;0.0751;0,838044980969045
2;26;0.0801;0,71434123859447
2;26;0.0851;0,847850887743576
2;26;0.0901;0,833603170891815
2;26;0.0951;0,851202628205944
2;26;0.1001;0,8505135052297
2;26;0.1051;0,845516151850105
2;26;0.1101;0,827229030357554
2;31;0.0001;0,851580144225014
2;31;0.0051;0,854180731095731
2;31;0.0101;0,84933569729022
2;31;0.0151;0,849699938658801
2;31;0.0201;0,847697046746023
2;31;0.0251;0,84971800501845
2;31;0.0301;0,849620202156863
2;31;0.0351;0,851624960529931
2;31;0.0451;0,846988626112003
2;31;0.0501;0,842323699790763
2;31;0.0551;0,850370005760504
2;31;0.0601;0,853224834628283
2;31;0.0651;0,850704350585688
2;31;0.0701;0,84908532777684
2;31;0.0751;0,8498262675256
2;31;0.0801;0,850280435526873
2;31;0.0901;0,714422904989074
2;31;0.0951;0,845240741485573
2;31;0.1001;0,814789829511929
2;31;0.1051;0,843833839864824
2;31;0.1101;0,850225839539387
2;31;0.1151;0,83640901015194
2;36;0.0001;0,84607966951597
2;36;0.0051;0,853913324179885
2;36;0.0151;0,851551633578146
2;36;0.0201;0,846530816554314
2;36;0.0251;0,849620119691284
2;36;0.0301;0,851824036075881
2;36;0.0351;0,84697646081007
2;36;0.0401;0,840907448076857
2;36;0.0451;0,851861972101406
2;36;0.0501;0,8506491502038
