<bid_top>;<c>;<c2>;p
0.09833511;0.73005205;0.15781581;0.58309744
0.68143255;0.3542717;0.7782233;0
0.68143255;0.2707873;0.5812395;0
0.68143255;0.39126822;0.37597656;0.09245508
0.68143255;0.57135993;0.3384084;0
0.68143255;0.48969507;0.42510283;0.0020101
0.77388763;0.33283916;0.7866385;-0.04522253
0.68143255;0.51159966;0.40775293;0.10025751
0.68344265;0.24693832;0.5795141;0.02547745
0.7286651;0.001944065;0.62703055;-0.019745
0.78169006;0.19443506;0.57362837;0.21830994
0.7089201;0.85819733;0.34883755;-0.10151456
0.7089201;0.4082014;0.3445137;-0.1014929
1;0.36110955;0.6705806;-0.39234424
0.60740554;0.635534;0.38384855;0.00025026
0.6074272;0.337785;0.58987206;0.0004572
0.60765576;0.4165731;0.57231516;0.00022864
0.6076558;0.40195113;0.54896337;0.0003615
0.6078844;0.19280037;0.43851483;0.0002232
0.6078844;0.76790416;0.4891206;0.00023545
0.6080173;0.110221684;0.49652782;0.00010255
0.6081076;0.5629755;0.5685596;0.1032139
0.60811985;0.35709125;0.5172667;-0.00071431
0.60811985;0.45254573;0.47811303;-0.00071431
0.7113215;0.09904054;0.36250058;-0.10391363
0.60740554;0.43485612;0.060029566;0.01883186
0.60740554;0.16297418;0.409759;2.33E-06
0.60740787;0.83961487;0.615611;0
0.6262374;0.32793218;0.5341068;-0.01882953
0.60740787;0.41809693;0.49846417;0
0.60740787;0.39308023;0.32546455;0
0.60740787;0.39116833;0.48248547;-2.33E-06
0.60740787;0.35952908;0.44037527;-2.33E-06
0.60740787;0.16979158;0.32799846;-2.33E-06
0.60740554;0.7144606;0.21337472;-0.51957444
0.60740554;0.7054966;0.17806743;-0.4780135
0.60740554;0.34255475;0.2679808;-0.4780135
0.0878311;0.59584177;0.035491228;0.12469375
0.12939204;0.50944334;0.045695744;0.10192292
0.12939204;0.73489296;0.18543196;0.10192359
0.21252485;0.5347977;0.37097317;0.01879084
0.23131496;0.54678327;0.38784093;7.7E-07
0.23131563;0.40831488;0.30500787;0.01879211
0.23131569;0.5456883;0.35719544;0.20982428
0.23131573;0.2685494;0.2953784;0.04355869
0.25010774;0.40955716;0.3323197;0.33651462
0.44113997;0.209741;0.6542539;0.08313277
0.27487442;0.37615994;0.45378414;0.33253112
0.58662236;0.13289666;0.64690346;0.02078318
0.52427274;0.67174584;0.2989696;-0.06366107
0.60740554;0.49675962;0.36408332;-0.14534869
0.60740554;0.47895607;0.39161938;-0.1442134
0.46061167;0.42960915;0.47457647;0.00598636
0.46205685;0.104358345;0.47641593;0.00454121
0.46319214;0.5939235;0.424823;0.00341194
