window_size;number_of_epochs;learning_rate;Q
2;1;0.0001;0.819832798754212
2;1;0.0051;0.820640079923574
2;1;0.0101;0.851576348253552
2;1;0.0151;0.852653920652505
2;1;0.0201;0.836463260174967
2;1;0.0251;0.849578988227128
2;1;0.0301;0.829027438560708
2;1;0.0351;0.852411251002187
2;1;0.0451;0.843308134780008
2;1;0.0501;0.847018941225745
2;1;0.0551;0.781177897164734
2;6;0.0001;0.651250147438606
2;6;0.0051;0.850955835767349
2;6;0.0101;0.850820381262478
2;6;0.0151;0.852952499632746
2;6;0.0201;0.84898503000849
2;6;0.0301;0.852863808400959
2;6;0.0351;0.852627542324302
2;6;0.0401;0.84698870378905
2;6;0.0451;0.851982096807128
2;6;0.0501;0.847607115433475
2;6;0.0551;0.854302956488054
2;11;0.0001;0.849845574609043
2;11;0.0051;0.850358233050663
2;11;0.0151;0.852180671503568
2;11;0.0201;0.849122278175477
2;11;0.0251;0.853048298121494
2;11;0.0301;0.849479781705366
2;11;0.0351;0.849133632798498
2;11;0.0401;0.852943925222135
2;11;0.0451;0.847651104846493
2;11;0.0501;0.842220390953373
2;16;0.0001;0.806759058635913
2;16;0.0051;0.850900225736124
2;16;0.0101;0.853810324382042
2;16;0.0151;0.852984622216785
2;16;0.0201;0.840604289683411
2;16;0.0251;0.846162299510463
2;16;0.0301;0.849883439273054
2;16;0.0351;0.852365668487617
2;16;0.0451;0.8440844251317
2;16;0.0501;0.852575674092045
2;16;0.0551;0.852741091253964
2;21;0.0001;0.848668169903617
2;21;0.0051;0.852637119807166
2;21;0.0101;0.851538009403603
2;21;0.0151;0.849569408717372
2;21;0.0201;0.85089938854122
2;21;0.0301;0.84704454052839
2;21;0.0351;0.850830281227968
2;21;0.0401;0.847282535735154
2;21;0.0451;0.850282846944826
2;21;0.0501;0.844158431697264
2;21;0.0551;0.84966637941508
2;26;0.0001;0.848208230212391
2;26;0.0051;0.852504049033203
2;26;0.0151;0.852927660332411
2;26;0.0201;0.853537445922735
2;26;0.0251;0.852492982102913
2;26;0.0301;0.850615806113215
2;26;0.0351;0.850876708975471
2;26;0.0401;0.84733848932103
2;26;0.0451;0.847683733231165
2;26;0.0501;0.850075554142151
2;31;0.0001;0.843664432432011
2;31;0.0051;0.853520701796529
2;31;0.0101;0.851443760222806
2;31;0.0151;0.850263314303103
2;31;0.0201;0.849015848935748
2;31;0.0251;0.844032764204139
2;31;0.0301;0.846853050283592
2;31;0.0351;0.850451645267991
2;31;0.0451;0.844285615955415
2;31;0.0501;0.852228189868393
2;31;0.0551;0.841023697154841
2;36;0.0001;0.847171598891899
2;36;0.0051;0.85030875940229
2;36;0.0101;0.847101572891023
2;36;0.0151;0.839347070783191
2;36;0.0201;0.851023530265329
2;36;0.0301;0.846762763296584
2;36;0.0351;0.844224075363964
2;36;0.0401;0.849379767362809
2;36;0.0451;0.84310783128414
2;36;0.0501;0.847990107455862
2;36;0.0551;0.844732104055343
2;41;0.0001;0.851397337007731
2;41;0.0051;0.85221572174657
2;41;0.0151;0.849470401324098
2;41;0.0201;0.847143866684501
2;41;0.0251;0.850035386885326
2;41;0.0301;0.851249830034137
2;41;0.0351;0.850049629827655
2;41;0.0401;0.85175190735917
2;41;0.0451;0.844514142760173
2;41;0.0501;0.851214192633133
2;46;0.0001;0.849080185940265
2;46;0.0051;0.850652692420178
2;46;0.0101;0.850062261529966
2;46;0.0151;0.849330436467282
2;46;0.0201;0.849081304385082
2;46;0.0251;0.846745119020389
2;46;0.0301;0.847968842653606
2;46;0.0351;0.848702836346242
2;46;0.0451;0.838621737280655
2;46;0.0501;0.849375352668446
2;46;0.0551;0.851783059733821
5;1;0.0001;0.646200372316083
5;1;0.0051;0.84966464777126
5;1;0.0101;0.850936707574294
5;1;0.0151;0.85167948681334
5;1;0.0201;0.850300997441245
5;1;0.0301;0.843964289463523
5;1;0.0351;0.839504387919503
5;1;0.0401;0.839638027043686
